OTU_id	F14RhizoFungi.2p.A1	F14RhizoFungi.2p.C2	F14RhizoFungi.2p.C4	F14RhizoFungi.2p.D3	F14RhizoFungi.H8	F14RhizoFungi.H9	F14Group.Rhizo108	F14Group.Rhizo99	F14RhizoFungi.G10	F14RhizoFungi.H3	F15RhizoFungi.2p.B1	F15RhizoFungi.2p.C2	F15RhizoFungi.2p.A1	F15RhizoFungi.2p.B5	F15RhizoFungi.2p.D3	F15RhizoFungi.H8	F15Group.Rhizo111	F15Group.Rhizo108	F15RhizoFungi.G10	F15RhizoFungi.G5
Otu00072	1	0	0	0	6	2	252	0	0	2	57	4	13	4	3	15	975	122	1	1
Otu00073	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Otu00074	1	0	1	0	1	340	0	0	1	41	0	363	0	0	0	3	0	0	0	0
Otu00075	0	0	0	0	0	0	0	0	0	0	4	138	2	46	18	1	0	21	0	0
Otu00076	46	29	20	135	9	16	1	4	0	1	7	20	0	5	65	12	26	0	0	0
Otu00077	1194	72	10	570	11	7	1	3	0	0	0	0	0	0	0	8	0	0	0	0
Otu00078	0	0	3	1	1	6	0	12	2	14	1	2	4	8	68	1	1	2	6	2
Otu00079	0	7	2	49	0	4	2	1	6	0	0	0	0	0	19	19	10	0	46	0
Otu00080	0	17	27	0	9	35	13	0	0	1	178	352	6	438	160	0	4	1	0	0
Otu00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
Otu00083	0	0	35	339	15	8	0	33	1	1	3	190	1	55	51	0	0	0	0	0
Otu00084	4	0	0	0	4	1	2	0	35	0	3	0	0	43	28	2	0	4	83	14
Otu00085	0	0	0	2	0	0	169	0	61	631	0	0	0	0	0	0	1	0	46	0
Otu00086	0	0	11	0	1	2	0	0	0	0	0	0	0	0	9	0	0	36	0	0
Otu00088	0	0	22	10	20	0	0	0	0	0	73	0	0	31	20	1	1	106	1	0
Otu00089	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	1	0	0
Otu00092	15	27	39	0	0	0	1	14	7	1	0	0	0	0	0	0	0	0	0	8
Otu00093	0	0	22	0	1	27	0	0	0	0	10	0	0	1	0	0	0	0	0	0
Otu00094	11	1	98	39	15	17	0	0	0	0	0	3	2	44	6	4	0	0	0	12
Otu00095	0	0	13	21	0	0	0	0	0	0	11	3	26	0	11	7	25	58	0	1
Otu00096	0	0	0	0	0	0	0	0	0	0	0	5	0	0	130	2	0	0	0	109
Otu00097	0	2	2	1	6	23	18	2	0	4	24	98	10	8	120	38	3	1	0	1
Otu00098	0	84	34	47	18	6	0	1	2	0	0	0	0	0	0	107	0	0	0	0
Otu00100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0
Otu00101	116	18	61	0	7	0	0	0	0	0	8	54	155	0	214	62	1	164	0	0
Otu00102	0	25	0	3	1	0	0	0	0	0	0	0	0	0	0	80	0	1	0	13
Otu00103	0	0	0	0	0	0	0	51	66	0	0	0	0	1	0	0	0	0	11	0
Otu00104	3	14	14	22	0	4	0	0	19	0	0	12	52	0	0	4	6	14	0	25
Otu00105	0	0	0	13	0	46	36	12	1	0	0	4	0	0	0	0	0	0	0	5
Otu00107	45	4	25	20	9	0	0	0	0	1	18	14	199	9	77	21	0	0	0	15
Otu00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	57
Otu00109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0
Otu00110	0	0	3	5	0	1	0	29	28	4	0	4	0	13	4	2	0	0	4	0
Otu00112	0	0	13	0	0	23	0	0	0	0	5	32	28	16	25	1	8	81	49	0
Otu00119	0	1	2	1	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	0
Otu00122	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	11	0
Otu00125	0	2	0	1	0	0	0	79	0	0	0	0	23	6	0	0	0	0	52	14
Otu00126	0	0	0	0	0	0	0	222	0	0	0	0	1	23	0	0	0	0	219	1
Otu00127	0	0	1	0	8	1	12	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu00128	0	0	2	0	0	1	2	0	0	0	4	5	0	1	1	1	3	1	0	1
Otu00130	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	3	50	55	0
Otu00131	0	0	8	11	0	2	0	0	0	0	2	2	0	8	0	2	0	0	0	1
Otu00132	2	0	6	2	2	1	13	0	0	0	49	0	16	0	4	2	1	1	0	1
Otu00133	0	0	0	0	93	0	0	1	0	0	0	0	27	0	0	0	0	0	0	0
Otu00134	0	1	0	0	0	0	23	6	48	3	0	0	1	1	0	0	0	0	0	0
Otu00135	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
Otu00136	0	0	0	9	2	0	0	0	0	0	0	0	58	9	1	9	0	0	0	0
Otu00137	1	7	8	18	11	8	0	0	4	0	13	10	19	11	5	8	25	7	0	0
Otu00138	0	0	0	0	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	5
Otu00140	0	22	44	1	0	1	0	0	0	0	4	69	0	1	7	2	0	0	0	13
Otu00141	0	25	0	0	0	0	1	156	0	1172	0	0	0	0	0	0	0	0	0	0
Otu00142	38	0	0	25	0	41	0	0	0	0	4	40	2	9	20	336	0	0	1	12
Otu00143	0	0	11	4	12	9	0	0	0	0	29	9	4	31	17	49	0	0	1	0
Otu00144	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0
Otu00146	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00148	3	1	1	9	1	0	2	19	1	0	0	9	4	0	2	11	190	0	65	34
Otu00149	0	0	0	0	20	0	0	0	0	0	4	8	0	0	0	4	0	0	0	0
Otu00150	0	0	0	0	0	3	2	0	0	0	19	2	2	12	0	0	2	8	0	0
Otu00151	0	5	10	0	0	0	1	0	8	0	1	3	3	0	14	13	3	0	0	55
Otu00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
Otu00154	0	0	0	1	1	0	229	102	0	0	0	0	0	0	0	0	1	13	0	0
Otu00155	0	0	0	0	0	0	0	40	0	0	0	1	0	0	0	0	0	0	7	58
Otu00156	0	2	1	9	9	0	91	25	0	0	9	0	1	0	23	0	0	0	0	0
Otu00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	25
Otu00158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	15	0
Otu00159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
Otu00160	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	216	181
Otu00161	0	0	1	0	0	0	0	1	0	2	3	0	0	2	1	0	21	9	6	7
Otu00162	0	5	0	0	3	11	0	0	0	0	16	16	0	0	20	0	1	0	51	7
Otu00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9
Otu00164	0	0	3	0	0	0	0	99	94	0	0	35	0	11	9	2	0	1	0	9
Otu00165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu00168	0	0	0	0	0	0	0	0	0	0	2	1	0	15	3	1	2	49	0	0
Otu00169	78	2	7	2	1	15	0	0	0	0	0	6	0	6	0	0	0	22	0	1
Otu00170	0	3	0	0	0	41	0	0	0	0	21	28	0	41	46	2	0	0	0	0
Otu00172	0	0	4	0	0	0	11	1	0	0	0	1	0	0	0	0	0	0	0	9
Otu00173	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	4	2	0	0	0
Otu00174	4	9	14	0	1	2	0	0	0	0	1	0	5	6	0	2	0	15	0	14
Otu00175	0	0	0	0	59	0	0	0	0	0	0	0	38	0	0	0	0	6	0	0
Otu00177	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Otu00178	0	3	11	0	0	0	16	9	0	1	0	6	0	0	9	0	0	0	0	0
Otu00179	0	0	0	0	0	0	0	0	0	0	32	0	0	0	30	0	0	0	0	0
Otu00182	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	22
Otu00183	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	19
Otu00184	0	0	0	0	9	0	0	0	0	0	0	0	0	3	41	0	0	9	0	0
Otu00185	0	0	81	81	12	1	1	0	1	0	0	0	0	0	0	4	0	0	0	0
Otu00186	0	0	0	0	0	4	0	0	0	0	0	12	0	0	6	0	0	0	0	0
Otu00187	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	19	0	0	1	88
Otu00189	0	3	10	11	11	0	0	0	0	0	0	4	0	15	22	2	0	1	0	1
Otu00190	0	0	0	0	0	0	0	0	0	0	27	1	49	11	160	17	1	0	0	0
Otu00192	7	5	0	2	0	14	0	0	0	0	0	0	5	44	0	2	4	23	0	0
Otu00194	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Otu00196	0	0	26	37	0	0	0	66	0	0	0	2	126	17	4	19	0	0	40	0
Otu00198	0	0	2	37	0	9	0	68	0	0	0	5	0	0	8	0	0	0	0	0
Otu00199	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	94	7
Otu00200	0	0	0	0	3	0	4	0	0	0	5	1	1	0	4	2	16	0	0	0
Otu00201	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	1	0	85	1
Otu00203	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00204	14	22	0	0	0	0	0	0	1	0	0	1	0	0	58	0	0	0	1	0
Otu00206	0	3	0	0	0	0	0	36	1	0	2	0	18	3	0	0	0	0	0	10
Otu00207	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00208	0	0	0	0	0	0	5	0	0	2	10	35	75	2	41	8	2	33	0	0
Otu00209	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Otu00210	0	11	0	0	0	0	34	1	0	0	0	1	0	0	0	0	0	0	0	3
Otu00211	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1
Otu00212	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
Otu00213	1	5	0	8	17	7	0	0	0	1	0	0	51	0	0	15	0	1	0	0
Otu00216	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00217	0	0	0	0	0	0	0	0	0	0	0	0	38	0	7	0	0	0	0	0
Otu00218	0	3	1	0	0	51	0	1	0	0	419	0	0	0	0	8	0	0	0	1
Otu00221	0	0	0	0	0	0	4	0	1	0	224	3	0	0	3	0	1	1	0	0
Otu00222	0	0	0	6	32	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0
Otu00223	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
Otu00224	0	4	2	0	3	0	0	0	0	0	50	28	0	30	47	1	11	15	0	0
Otu00225	31	0	11	0	0	20	0	0	0	0	1	0	0	17	1	4	0	0	0	0
Otu00226	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Otu00230	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	190	0
Otu00235	0	0	1	54	2	0	0	0	0	0	0	3	2	29	0	0	0	1	0	0
Otu00236	0	0	11	0	23	65	0	0	1	0	0	0	4	1	18	4	0	0	0	0
Otu00237	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	15	0
Otu00239	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0
Otu00240	0	0	3	3	0	0	0	0	0	0	16	2	2	0	0	1	1	0	0	0
Otu00241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0
Otu00242	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
Otu00245	0	0	2	3	7	0	0	0	18	0	0	0	0	0	0	22	0	0	0	23
Otu00247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0
Otu00248	0	0	0	2	3	0	0	0	0	1	1	0	1	0	11	2	0	1	199	5
Otu00249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0
Otu00250	0	15	6	27	13	13	0	0	0	18	0	0	0	0	0	0	0	0	0	0
Otu00252	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	26	0
Otu00254	0	0	0	0	0	0	0	0	0	0	0	0	26	1	0	0	6	0	0	0
Otu00255	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00257	61	9	0	57	14	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0
Otu00260	0	0	0	0	0	0	0	0	0	0	13	0	177	0	0	0	1	5	0	13
Otu00261	0	0	0	117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00262	0	0	15	0	3	1	0	0	0	0	1	0	2	3	2	26	0	0	0	0
Otu00263	27	3	7	15	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6
Otu00264	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	21
Otu00266	0	0	0	0	3	0	0	0	0	0	8	9	1	2	68	2	0	0	0	0
Otu00269	2	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	55	19	0	0
Otu00270	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0
Otu00271	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00272	0	1	1	0	0	1	0	0	0	15	31	0	0	0	0	0	0	0	9	2
