OTU_id	F14RhizoFungi.2p.A1	F14RhizoFungi.2p.C2	F14RhizoFungi.2p.C4	F14RhizoFungi.2p.D3	F14RhizoFungi.H8	F14RhizoFungi.H9	F14Group.Rhizo108	F14Group.Rhizo99	F14RhizoFungi.G10	F14RhizoFungi.H3	F15RhizoFungi.2p.B1	F15RhizoFungi.2p.C2	F15RhizoFungi.2p.A1	F15RhizoFungi.2p.B5	F15RhizoFungi.2p.D3	F15RhizoFungi.H8	F15Group.Rhizo111	F15Group.Rhizo108	F15RhizoFungi.G10	F15RhizoFungi.G5
Otu00387	0	0	0	0	3	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0
Otu00388	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2	0	0	0
Otu00389	0	0	3	4	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0
Otu00391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Otu00392	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	1	0	0	0	0
Otu00393	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Otu00396	1	4	1	1	3	3	0	0	0	0	2	26	0	6	1	1	0	0	0	1
Otu00397	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00398	0	0	1	0	0	0	0	0	0	0	9	5	2	0	33	0	0	0	0	0
Otu00399	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0	0	0	0	38	0
Otu00400	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00401	0	0	0	0	0	0	0	0	0	0	0	4	3	59	1	0	2	0	0	22
Otu00403	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00404	0	0	0	0	0	0	0	0	0	0	0	0	1	26	0	0	0	13	0	0
Otu00412	20	3	0	78	0	4	9	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00413	79	10	8	3	3	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu00415	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
Otu00419	0	0	0	0	0	0	1	0	0	4	3	5	0	3	0	0	0	0	3	0
Otu00420	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu00423	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	1	0	0	0
Otu00424	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
Otu00426	0	0	0	4	0	0	0	0	0	0	0	0	0	0	33	1	0	0	1	9
Otu00427	0	0	0	0	0	0	0	0	0	0	0	5	1	0	9	0	0	0	3	0
Otu00428	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00429	0	0	0	0	0	0	0	0	0	0	2	0	0	7	1	0	0	0	0	12
Otu00430	0	7	30	10	29	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00431	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Otu00436	0	14	0	3	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	15
Otu00437	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Otu00438	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00442	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0
Otu00443	0	0	0	0	0	0	1	237	0	0	0	0	0	0	0	0	0	0	0	0
Otu00444	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	56	1
Otu00446	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	10
Otu00448	0	1	0	0	16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7
Otu00450	1	1	3	0	0	4	8	0	1	0	2	3	0	0	9	0	3	1	0	0
Otu00451	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	9	0	0	0
Otu00452	0	0	1	8	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	10
Otu00453	0	0	0	0	0	0	0	0	0	0	0	17	0	3	35	1	0	0	0	0
Otu00454	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	2	0	0
Otu00456	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0
Otu00458	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	4
Otu00459	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0
Otu00464	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
Otu00467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Otu00468	0	0	0	0	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	1
Otu00469	0	0	0	0	7	0	0	0	0	0	4	0	5	5	2	10	0	0	0	0
Otu00472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0
Otu00473	0	0	0	0	0	0	0	0	0	0	2	0	0	40	0	0	0	0	0	0
Otu00476	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0
Otu00477	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00478	0	3	1	0	6	7	0	0	1	0	0	0	0	0	1	0	0	0	4	0
Otu00479	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00481	0	0	0	0	0	0	0	0	0	0	3	2	0	11	0	0	0	0	0	0
Otu00482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
Otu00483	0	0	1	0	0	0	9	0	0	0	7	1	0	0	1	0	0	1	0	0
Otu00484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Otu00485	0	0	3	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu00486	0	0	7	4	0	0	0	0	0	0	1	0	0	31	11	0	0	0	0	0
Otu00487	0	0	10	0	0	8	0	0	0	14	1	0	0	0	0	1	0	0	0	1
Otu00488	0	0	0	0	0	0	0	0	0	0	2	0	71	0	0	0	2	2	0	0
Otu00490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu00492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
Otu00494	3	0	2	0	7	2	0	0	0	0	8	0	1	3	2	0	0	0	0	0
Otu00495	0	2	1	0	0	3	1	3	1	4	0	5	0	4	0	3	1	1	0	1
Otu00497	0	0	0	0	0	0	0	0	0	0	28	0	0	0	3	0	0	0	0	0
Otu00501	0	4	19	0	11	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0
Otu00505	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	4
Otu00506	0	0	0	0	0	0	0	0	0	0	25	0	0	0	10	0	0	0	0	0
Otu00509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Otu00511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Otu00513	0	1	1	0	0	0	0	0	0	0	3	10	0	6	2	3	0	0	0	0
Otu00516	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu00517	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00520	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00521	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	10
Otu00523	0	0	0	0	0	1	0	0	0	0	0	3	6	2	3	3	0	5	0	1
Otu00524	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0
Otu00526	0	0	3	2	0	0	0	0	0	0	0	6	0	0	0	0	81	2	0	0
Otu00532	3	0	10	0	0	1	1	7	0	0	0	1	0	0	0	2	0	0	1	0
Otu00533	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
Otu00537	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00543	3	0	0	0	0	0	0	0	0	0	10	6	2	0	0	0	0	0	0	0
Otu00544	0	2	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0	0
Otu00554	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	47	0	0	0	0
Otu00555	0	0	0	0	7	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0
Otu00557	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	21	2	0	0
Otu00559	0	1	0	0	1	0	0	0	0	0	0	34	1	0	0	0	0	0	0	0
Otu00563	0	2	0	2	2	5	0	0	0	0	0	22	0	0	0	0	0	0	0	0
Otu00565	0	2	0	0	0	0	0	0	0	0	24	2	0	15	0	0	0	0	0	0
Otu00572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
Otu00574	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00576	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu00579	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0
Otu00580	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00584	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00589	3	0	0	8	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0
Otu00590	0	0	0	5	0	0	0	0	0	0	27	0	2	0	7	0	0	0	0	0
Otu00591	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu00595	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00597	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00598	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0
Otu00601	0	0	0	3	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0
Otu00603	1	0	3	2	3	1	2	0	0	0	0	1	0	1	2	0	0	0	0	4
Otu00604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Otu00605	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
Otu00607	0	0	1	1	1	0	0	0	0	0	5	0	3	5	5	0	3	0	0	0
Otu00608	0	0	80	0	11	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
Otu00609	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0
Otu00610	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Otu00613	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0
Otu00614	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	72	0
Otu00616	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00617	0	0	0	1	0	0	0	0	0	0	3	0	0	0	11	0	1	0	0	2
Otu00618	0	0	0	0	1	0	8	0	0	0	1	0	0	0	0	0	1	0	0	0
Otu00620	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Otu00621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Otu00627	1	0	1	4	0	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0
Otu00628	0	0	0	1	0	0	0	0	0	0	5	1	2	1	0	1	0	0	0	0
Otu00629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	0	0
Otu00630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu00631	0	1	0	0	2	2	0	0	0	0	5	0	1	2	0	3	0	0	0	0
Otu00632	0	0	0	0	0	0	0	0	0	0	2	0	0	7	4	1	0	0	0	0
Otu00633	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	30	0
Otu00635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Otu00637	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
Otu00639	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00640	0	0	0	0	0	0	0	0	0	0	4	0	3	11	0	0	0	0	0	0
Otu00641	0	0	0	0	0	0	0	0	0	0	3	0	1	4	7	0	0	0	0	0
Otu00642	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu00644	0	0	3	3	5	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
Otu00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
Otu00649	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
Otu00650	0	0	0	0	0	0	0	0	0	0	8	0	0	0	25	0	0	0	0	0
Otu00653	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu00654	6	11	1	4	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0
Otu00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	55	3
Otu00656	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00660	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00664	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00665	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu00667	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu00669	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Otu00675	0	0	0	0	0	0	0	0	0	0	1	26	0	0	9	3	0	0	0	0
Otu00679	3	0	1	0	0	0	0	0	0	0	1	1	0	1	22	0	0	0	0	0
Otu00680	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Otu00682	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
Otu00683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00685	6	0	0	0	1	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0
Otu00686	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
Otu00689	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
Otu00692	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Otu00693	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2
Otu00697	0	0	3	0	0	0	0	0	0	0	2	4	0	1	0	0	1	4	0	0
Otu00698	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Otu00699	0	0	0	0	0	0	0	0	0	0	3	2	0	4	6	4	0	0	0	0
Otu00701	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00702	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	2	1	0	0	0
Otu00704	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0
Otu00709	0	0	3	4	0	3	0	0	0	0	3	0	0	4	0	1	0	0	0	0
Otu00712	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00714	0	0	0	0	0	0	54	0	0	23	0	0	0	0	0	0	0	0	0	0
Otu00717	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
Otu00718	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu00721	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00723	0	0	2	2	0	1	0	0	0	0	0	0	1	1	0	2	0	0	0	0
Otu00724	1	0	0	0	3	2	0	0	0	0	1	0	0	1	3	1	0	0	0	0
Otu00733	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0
Otu00736	0	0	0	0	0	0	0	9	0	0	0	1	0	1	0	0	0	0	0	1
Otu00740	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00741	0	0	1	0	1	0	0	25	0	0	0	48	0	0	3	0	0	0	0	0
Otu00742	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0
Otu00743	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00745	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Otu00752	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1
Otu00756	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00760	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Otu00761	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00762	2	1	0	5	9	2	1	0	1	1	0	2	0	5	3	0	0	0	0	0
Otu00763	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0
Otu00764	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	19
Otu00765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu00766	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0
Otu00767	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu00768	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00769	0	0	0	0	0	0	0	0	5	23	0	0	0	0	0	0	0	0	0	0
Otu00770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00773	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00776	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0
Otu00777	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00782	0	0	1	0	0	0	0	0	0	0	1	11	0	11	3	0	0	0	0	0
Otu00785	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0
Otu00788	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00789	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Otu00791	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1
Otu00796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	35	0	0
Otu00797	0	3	2	3	0	1	0	2	2	0	0	0	0	0	0	2	0	0	0	0
Otu00798	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu00810	1	1	0	2	5	0	0	0	0	0	0	0	2	1	2	4	1	0	0	0
Otu00814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0
Otu00815	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0
Otu00816	3	0	0	0	0	1	0	0	0	0	8	0	0	0	0	2	0	0	0	0
Otu00822	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Otu00824	26	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00825	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00828	0	0	1	3	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0
Otu00829	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00835	0	1	2	1	3	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0
Otu00837	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu00839	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00841	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1
Otu00845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	40	0
Otu00846	0	0	0	0	0	0	0	1	0	0	5	0	0	0	2	1	0	0	0	0
Otu00848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu00850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
Otu00857	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00861	0	0	0	0	0	0	0	0	0	0	2	0	0	0	16	0	0	0	0	0
Otu00862	0	0	0	0	0	0	0	0	0	0	0	2	0	0	20	0	0	0	0	0
Otu00863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	1	0	0
Otu00867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	1	0
Otu00868	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00870	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	33	0	0
Otu00874	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0
Otu00876	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
Otu00878	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
Otu00883	0	0	0	5	0	0	0	0	0	0	0	0	4	0	16	0	0	0	0	0
Otu00887	2	0	3	0	0	2	0	1	2	2	0	0	0	0	0	0	0	0	0	0
Otu00888	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00891	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00897	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
Otu00900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu00902	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	3	0	0	4	0
Otu00904	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00905	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
Otu00906	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
Otu00908	0	0	0	11	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0
Otu00909	0	0	0	3	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
Otu00913	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	5	0
Otu00919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
Otu00920	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00921	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Otu00922	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	1	0	0
Otu00925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Otu00927	0	0	0	0	0	2	0	0	0	0	0	0	0	7	2	0	0	0	0	0
Otu00931	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00933	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00934	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0
Otu00935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00937	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0
Otu00939	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Otu00940	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
Otu00941	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
Otu00949	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
Otu00955	0	0	0	0	0	1	0	0	0	0	14	1	0	0	1	0	2	2	0	0
Otu00956	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
Otu00966	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu00967	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00973	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Otu00974	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0
Otu00976	0	2	0	0	0	5	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu00982	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00989	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00992	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	1	0	0
Otu00994	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Otu00995	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00999	5	0	0	0	0	5	0	0	0	0	0	0	0	0	26	0	0	0	0	0
Otu01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu01001	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0
Otu01003	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu01005	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu01008	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu01009	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu01014	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu01016	0	1	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0
Otu01020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu01023	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu01024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu01028	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	4	0	0	0
Otu01031	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
Otu01033	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu01037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
Otu01039	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu01043	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01044	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	4	0	0	0	0
Otu01050	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01051	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
