OTU_id	F14RootFungi.2p.A2	F14RootFungi.2p.B1	F14RootFungi.2p.B5	F14RootFungi.2p.B6	F14RootFungi.2p.D4	F14RootFungi.H12	F14RootFungi.G8	F14RootFungi.G4	F14RootFungi.G2	F14RootFungi.G5	F15RootFungi.2p.A2	F15RootFungi.2p.B6	F15RootFungi.2p.C5	F15RootFungi.2p.C3	F15RootFungi.2p.D2	F15RootFungi.2p.C4	F15Group.Root131	F15Group.Root99	F15RootFungi.G3	F15RootFungi.G8
Otu00380	0	0	50	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
Otu00383	9	0	0	0	0	0	0	0	0	0	0	27	0	9	0	0	0	0	0	0
Otu00388	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
Otu00391	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	6
Otu00396	0	0	2	0	0	1	0	0	0	0	0	9	1	9	4	6	1	0	11	1
Otu00397	0	0	0	0	0	0	0	0	0	0	36	0	0	0	22	0	0	0	0	0
Otu00399	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00400	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0
Otu00402	1	1	0	21	3	1	0	0	0	0	0	0	3	0	0	2	0	0	0	0
Otu00408	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Otu00409	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
Otu00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0
Otu00413	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00414	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0
Otu00416	11	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00418	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00419	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	2
Otu00421	0	0	0	4	0	0	0	0	0	0	56	0	0	4	0	0	0	0	0	0
Otu00422	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00423	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Otu00427	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0
Otu00429	0	0	0	0	0	0	0	0	0	1	0	0	5	9	5	0	0	1	1	0
Otu00432	0	3	1	11	4	2	0	0	0	0	0	0	4	0	0	9	0	0	0	0
Otu00433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00437	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	22	0
Otu00446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
Otu00449	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
Otu00450	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00453	0	0	19	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00455	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Otu00456	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0
Otu00457	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	16	2
Otu00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Otu00462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Otu00464	0	3	1	11	9	0	1	0	0	0	0	0	13	0	3	3	0	0	0	0
Otu00467	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	11	0	0
Otu00468	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0
Otu00469	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00471	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0
Otu00477	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Otu00478	16	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00484	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00485	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00486	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0
Otu00489	0	3	0	0	0	0	0	0	0	0	0	0	13	0	0	0	136	0	18	14
Otu00494	0	1	3	0	1	0	0	0	0	0	8	6	1	2	6	0	1	0	3	2
Otu00495	0	0	0	2	0	0	0	2	0	8	1	0	2	0	0	0	0	1	1	0
Otu00497	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0
Otu00502	1	0	2	5	4	10	0	0	0	0	0	0	1	0	0	2	0	0	0	0
Otu00504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Otu00506	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
Otu00508	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00510	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9
Otu00512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0
Otu00513	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00515	0	3	4	0	0	0	0	0	0	5	0	3	0	0	0	0	1	0	1	0
Otu00516	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu00521	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
Otu00523	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Otu00524	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu00531	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0
Otu00532	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00533	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00534	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
Otu00543	0	13	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Otu00551	2	0	3	4	3	3	0	0	0	0	1	0	2	0	0	2	0	0	0	0
Otu00555	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
Otu00559	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Otu00563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu00565	0	0	0	0	0	0	0	1	0	10	21	0	0	0	0	0	0	0	0	0
Otu00566	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00567	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00568	0	0	0	0	0	0	0	23	0	0	0	0	2	0	0	0	4	0	0	0
Otu00571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0
Otu00578	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	1	0	0	0
Otu00579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0
Otu00580	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Otu00581	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu00587	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0
Otu00588	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Otu00589	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu00590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu00591	0	0	0	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0
Otu00592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
Otu00598	0	0	0	0	0	0	0	0	0	0	4	0	4	13	0	0	0	0	1	0
Otu00601	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
Otu00602	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0
Otu00603	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00607	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	4	0
Otu00609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
Otu00610	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
Otu00612	1	0	0	0	0	3	0	17	3	6	0	0	0	0	0	0	0	0	0	0
Otu00617	0	0	5	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0
Otu00620	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00624	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00627	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0
Otu00628	0	0	4	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0
Otu00630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu00632	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	2	0	0	0
Otu00640	0	0	0	0	0	0	0	0	0	0	0	1	7	8	0	0	0	0	0	0
Otu00641	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Otu00642	0	0	0	0	0	0	0	4	5	0	0	0	0	0	6	6	0	0	18	0
Otu00643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0
Otu00645	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
Otu00649	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0
Otu00650	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	7	0	0	0	0
Otu00653	0	2	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0
Otu00656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	0
Otu00657	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	13	0
Otu00660	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00669	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00672	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00674	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Otu00678	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu00679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu00683	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Otu00689	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Otu00691	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0
Otu00694	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0
Otu00696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	10	8
Otu00701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0
Otu00702	0	0	0	0	0	0	0	3	0	4	2	0	0	0	0	0	0	1	0	0
Otu00703	3	0	0	0	1	0	0	0	0	0	0	0	0	7	0	12	0	0	2	0
Otu00706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu00711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
Otu00713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Otu00720	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0
Otu00723	0	0	2	0	0	0	0	0	0	0	8	4	0	1	1	0	0	0	2	1
Otu00733	0	0	0	0	0	0	0	3	1	0	3	0	1	0	0	0	0	0	0	0
Otu00736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1
Otu00738	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0
Otu00744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00746	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6	0
Otu00748	9	4	1	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00749	0	0	1	0	0	3	0	0	10	0	0	1	0	0	0	0	0	0	0	0
Otu00751	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0
Otu00752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Otu00753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0
Otu00757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Otu00763	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Otu00769	0	0	0	0	0	0	0	2	0	1	0	0	6	0	0	0	0	0	0	0
Otu00774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Otu00776	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Otu00784	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
Otu00798	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	21	0
Otu00799	0	0	0	2	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
Otu00800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu00808	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	69	0	0	0
Otu00809	0	2	0	1	4	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu00812	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Otu00815	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
Otu00817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
Otu00820	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0
Otu00832	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu00833	0	0	11	0	0	0	5	2	0	2	0	0	0	0	0	0	0	2	0	2
Otu00838	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0
Otu00842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00850	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu00859	0	3	0	1	3	2	0	0	0	0	0	0	2	0	2	3	0	0	0	0
Otu00861	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0
Otu00862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Otu00864	0	1	0	0	0	0	0	0	0	0	0	0	3	1	9	1	0	0	0	0
Otu00875	0	0	21	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu00878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Otu00883	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Otu00885	8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu00887	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Otu00890	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00891	3	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
Otu00893	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
Otu00898	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00899	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00901	0	0	0	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00906	0	3	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00917	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	2	0
Otu00921	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00923	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	4	0	1
Otu00927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu00932	0	0	0	0	0	0	0	26	0	17	0	0	0	0	0	0	0	0	0	0
Otu00935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	4
Otu00936	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	0
Otu00942	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Otu00946	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0
Otu00948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0
Otu00949	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0
Otu00954	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00963	0	0	3	3	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Otu00966	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Otu00968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
Otu00970	0	3	0	0	0	3	0	0	0	0	0	0	0	4	5	1	0	0	0	0
Otu00971	1	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0
Otu00988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
Otu00996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00999	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01002	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu01003	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01005	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu01006	0	0	0	0	0	1	0	4	0	1	2	0	0	12	0	6	0	0	0	0
Otu01008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu01009	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01010	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01011	0	4	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu01015	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu01029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu01033	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Otu01044	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01045	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0
Otu01047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
Otu01054	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu01056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0
Otu01063	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Otu01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23
Otu01086	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
Otu01089	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Otu01092	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu01094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu01099	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Otu01106	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01107	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu01111	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01116	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
Otu01133	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0
Otu01136	0	4	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Otu01137	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0
Otu01138	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu01147	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
Otu01149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu01158	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0
Otu01166	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Otu01195	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu01211	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Otu01213	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0
Otu01217	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu01219	5	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Otu01258	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
Otu01262	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
Otu01265	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0
Otu01266	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
Otu01273	0	0	0	0	0	1	0	0	0	1	2	0	0	7	0	9	0	0	0	0
Otu01296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Otu01301	0	0	0	1	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	0
Otu01313	0	0	0	0	0	0	0	0	0	0	3	12	0	14	0	0	0	0	0	0
Otu01317	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu01326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Otu01330	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0
Otu01338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu01343	2	0	3	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
Otu01356	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu01358	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
Otu01359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Otu01361	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu01362	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Otu01364	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
Otu01366	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Otu01377	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0
Otu01387	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0
Otu01390	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu01418	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0
Otu01420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu01423	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu01425	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01430	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01431	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2
Otu01436	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	1	0	0	0
Otu01446	0	0	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0
Otu01459	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	3	0
Otu01464	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
Otu01478	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu01486	2	1	0	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01503	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu01504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
Otu01509	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
Otu01517	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0
Otu01519	0	2	0	0	0	0	0	5	0	2	0	0	0	0	1	0	0	0	0	0
Otu01522	0	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Otu01527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Otu01534	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu01536	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu01538	0	0	1	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0
Otu01542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Otu01547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
