"","Count","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","module","connectivity","participation","role","Compartment","Rootstock"
"Otu001332","1962","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stephanosporaceae","g__unclassified_Stephanosporaceae","s__Stephanosporaceae_sp","Otu00133",19,1.25443892688189,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu00625","151","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","f__Stictidaceae_unclassified",NA,"Otu00625",19,1.25443892688189,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0004721","6355","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Guehomyces","s__Guehomyces_pullulans","Otu00047",19,1.25443892688189,0.21875,"Peripheral","Rhizosphere","RST-04-106"
"Otu0003821","7832","k__Fungi","p__Zygomycota","c__Zygomycota_class_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_humilis","Otu00038",19,1.95459088607179,0.546712802768166,"Peripheral","Rhizosphere","RST-04-106"
"Otu0000821","45693","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Olpidiales","f__Olpidiaceae","g__Olpidium","s__Olpidium_brassicae","Otu00008",19,2.65474284526168,0,"Peripheral Hub","Rhizosphere","RST-04-106"
"Otu002502","826","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris","s__Bipolaris_microstegii","Otu00250",20,-1.04083299973307,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu002572","798","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolales_family_Incertae_sedis","f__Sporidiobolales_family_Incertae_sedis_unclassified",NA,"Otu00257",20,-1.04083299973307,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu004024","348","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","f__Pyronemataceae_unclassified",NA,"Otu00402",20,-1.04083299973307,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu006542","141","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_family_Incertae_sedis","g__Cryptococcus","s__Cryptococcus_magnus","Otu00654",20,-1.04083299973307,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu0000321","168987","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","f__Pyronemataceae_unclassified",NA,"Otu00003",20,3.5840315168285e-16,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu000922","3244","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__Alternaria_porri","Otu00092",20,3.5840315168285e-16,0,"Peripheral","Rhizosphere","RST-04-106"
"Otu001401","1918","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","s__Clonostachys_rosea_f._catenulata","Otu00140",20,3.5840315168285e-16,0,"Peripheral","Rhizosphere","RST-04-106"
