"","node","edge","nodeDegree","avgpath","trans","mod","connectance","wtc","nModules.SA","top3hub","top3hubv","n_postiveL","n_negativeL","Treatment"
"1",132,337,2.553,4.077,0.51,0.601,0.019,17,12,"17;39;36","1;0.866;0.76",257,72,"Nongraft"
"2",113,272,2.407,3.894,0.466,0.606,0.021,14,9,"23;13;14","1;0.958;0.762",200,63,"Selfgraft"
"3",133,338,2.541,4.143,0.497,0.644,0.019,16,11,"40;67;29","1;0.978;0.812",280,54,"RST-04-106"
"4",173,740,4.277,3.073,0.596,0.379,0.025,22,11,"24;41;75","1;0.954;0.913",451,279,"Maxifort"
