OTU_id	F14RhizoFungi.2p.A4	F14RhizoFungi.2p.A6	F14RhizoFungi.2p.B3	F14RhizoFungi.2p.D1	F14RhizoFungi.2p.D6	F14RhizoFungi.H11	F14Group.Rhizo111	F14RhizoFungi.G12	F14RhizoFungi.G7	F14RhizoFungi.H5	F15RhizoFungi.2p.A4	F15RhizoFungi.2p.B3	F15RhizoFungi.2p.D1	F15RhizoFungi.2p.D6	F15RhizoFungi.H11	F15RhizoFungi.2p.A6	F15RhizoFungi.G12	F15RhizoFungi.G2	F15RhizoFungi.G7	F15RhizoFungi.H5
Otu00369	0	0	0	0	0	0	0	0	79	33	0	0	0	0	0	0	0	0	0	0
Otu00370	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0
Otu00371	0	0	0	1	10	0	0	0	0	0	7	0	11	0	0	2	0	0	7	0
Otu00373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0
Otu00374	0	1	0	3	5	5	0	0	0	0	5	6	0	0	2	20	0	0	0	0
Otu00376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00378	0	2	4	0	1	0	0	1	0	0	2	0	0	3	1	1	0	0	0	18
Otu00379	1	0	4	3	0	0	0	0	0	0	4	4	0	8	5	6	0	1	0	1
Otu00383	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0
Otu00384	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00387	0	0	0	0	0	0	0	6	3	19	0	0	0	0	0	0	0	0	0	0
Otu00388	0	0	0	0	0	0	0	0	12	18	0	0	0	0	3	0	0	0	0	0
Otu00389	0	0	0	0	0	0	0	0	8	0	0	0	0	0	48	0	0	0	0	22
Otu00391	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	6	37	12
Otu00392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu00393	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Otu00396	0	1	4	0	1	3	0	0	0	0	0	1	0	1	20	0	0	0	3	0
Otu00397	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	42
Otu00398	0	0	1	0	0	0	2	0	0	0	5	37	0	1	6	2	0	1	0	0
Otu00399	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Otu00400	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00401	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	21	0	44	0
Otu00402	0	0	6	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu00403	0	0	0	0	0	0	53	0	0	6	0	0	0	0	0	0	0	0	0	0
Otu00404	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0
Otu00408	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0
Otu00412	0	0	2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00413	0	17	0	1	1	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00415	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	12	20	0
Otu00416	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
Otu00418	0	5	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
Otu00419	0	0	0	0	0	0	0	4	0	1	1	1	0	0	3	1	0	0	2	0
Otu00422	0	7	0	0	5	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0
Otu00423	0	0	1	2	0	0	0	0	0	0	128	0	20	9	0	1	0	0	0	0
Otu00424	0	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00425	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00426	0	0	0	0	0	0	1	0	5	15	0	1	27	0	4	3	0	2	0	0
Otu00427	0	1	0	0	0	0	4	0	1	0	0	6	0	0	4	2	0	3	6	0
Otu00428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
Otu00429	0	0	0	0	0	0	0	0	0	0	7	4	0	2	0	10	0	0	0	0
Otu00431	0	0	0	0	0	0	51	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu00432	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Otu00434	0	0	0	0	0	0	0	0	0	0	263	0	1	0	0	0	0	0	0	0
Otu00436	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Otu00437	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Otu00442	0	0	4	0	0	0	1	0	0	0	101	3	0	0	1	3	0	0	0	0
Otu00446	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0	0	0
Otu00447	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	23
Otu00448	0	0	0	0	0	19	1	0	0	0	0	0	33	0	0	0	0	0	0	0
Otu00450	2	0	0	0	0	3	3	0	0	0	0	1	0	0	3	2	0	0	0	0
Otu00451	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00452	0	0	0	0	3	0	0	0	0	7	0	0	1	0	0	1	0	0	0	0
Otu00453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0
Otu00454	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00455	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
Otu00458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	4	1
Otu00460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Otu00464	0	0	1	3	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0
Otu00465	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Otu00467	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	35	0
Otu00468	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	7	17	0
Otu00469	0	0	0	0	0	0	0	0	0	0	13	32	0	2	46	3	0	0	0	0
Otu00470	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00473	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	2	0	0	0	0
Otu00475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
Otu00476	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Otu00478	0	3	0	0	0	4	0	0	0	3	4	0	0	4	2	0	0	1	0	0
Otu00479	0	0	0	48	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00481	0	0	0	0	0	0	0	0	2	3	4	0	5	3	2	0	0	0	0	0
Otu00483	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu00484	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00486	21	2	11	2	0	2	0	0	0	0	6	6	0	0	4	0	0	2	0	0
Otu00487	0	0	28	0	0	0	0	0	0	0	9	0	0	0	2	4	0	0	12	0
Otu00488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
Otu00490	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00491	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	4	0	0
Otu00494	0	0	0	0	2	1	0	0	0	0	0	5	0	1	0	1	0	0	0	0
Otu00495	3	0	0	1	1	0	0	1	3	0	2	0	1	2	0	0	0	0	0	4
Otu00497	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00498	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00501	0	0	0	1	0	0	0	0	34	30	0	0	0	0	0	0	0	1	0	0
Otu00502	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00503	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00505	0	1	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0
Otu00506	0	0	0	3	0	0	0	0	0	0	0	14	0	0	0	3	0	0	0	0
Otu00509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
Otu00511	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Otu00512	0	0	0	0	0	0	0	0	0	6	0	0	0	2	9	0	0	0	0	0
Otu00513	0	0	4	0	0	4	0	0	0	0	0	0	4	0	2	2	0	0	0	0
Otu00516	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0
Otu00517	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	1	0	0	0	0
Otu00518	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Otu00520	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00521	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0
Otu00523	0	0	0	0	0	0	0	1	0	0	0	1	0	1	4	1	0	0	8	0
Otu00524	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0
Otu00525	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu00526	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	13	0	0	0	0
Otu00530	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu00532	0	0	0	0	1	0	1	0	1	7	0	0	0	0	0	0	0	0	5	4
Otu00533	0	3	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	24
Otu00535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	19	0
Otu00537	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0
Otu00542	0	0	0	0	0	0	0	0	0	33	0	0	0	0	2	0	0	0	0	0
Otu00543	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Otu00544	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0
Otu00554	0	0	1	0	0	0	0	0	0	3	1	0	0	37	1	2	0	0	0	0
Otu00555	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Otu00563	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	6	0	3	8	0
Otu00565	0	0	0	0	0	0	0	0	0	0	12	1	4	0	1	1	0	0	0	0
Otu00568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Otu00569	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	14
Otu00574	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0
Otu00576	0	0	0	0	0	0	0	0	16	0	0	0	0	0	12	0	0	0	0	0
Otu00578	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	1	0	0	0	0
Otu00579	0	0	0	0	0	0	0	0	1	14	0	1	15	4	0	0	0	2	0	0
Otu00580	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	2	0	0
Otu00583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
Otu00586	0	0	2	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0
Otu00588	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Otu00589	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00590	0	0	0	10	0	0	0	0	0	0	3	0	0	1	0	9	0	0	0	0
Otu00591	0	0	0	0	0	0	0	1	44	6	0	0	0	0	0	0	0	4	0	7
Otu00592	0	0	0	0	0	0	0	0	12	0	0	0	0	11	0	0	0	0	0	0
Otu00594	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00595	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
Otu00597	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00598	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0
Otu00601	0	0	0	2	0	0	0	0	1	4	13	0	3	1	0	12	0	0	0	0
Otu00603	2	0	0	0	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	7
Otu00604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00605	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Otu00607	0	0	0	0	0	0	0	0	0	0	18	2	6	3	2	4	0	0	0	0
Otu00608	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu00609	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0
Otu00610	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	2
Otu00613	0	0	0	3	0	0	0	0	2	7	0	0	0	0	3	0	0	2	0	21
Otu00614	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00617	0	0	0	1	0	0	0	0	0	0	0	4	11	5	0	3	2	0	1	2
Otu00618	0	0	0	1	0	0	28	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00620	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
Otu00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	93	0
Otu00627	0	0	1	0	0	1	0	0	0	0	3	1	1	0	1	12	0	0	0	0
Otu00628	0	0	0	1	0	0	0	0	0	0	0	3	6	2	1	2	0	0	0	0
Otu00629	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	32	0
Otu00631	0	0	0	4	0	0	0	0	0	0	0	2	1	2	7	1	0	0	0	0
Otu00632	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	1	0	0	0	0
Otu00633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Otu00635	1	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0
Otu00637	0	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	1	0
Otu00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu00639	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00640	0	0	0	0	0	0	0	0	0	0	18	2	0	0	0	0	0	0	0	0
Otu00641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu00642	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
Otu00644	0	0	1	0	1	2	1	1	3	0	0	0	0	0	0	0	0	0	0	0
Otu00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
Otu00649	0	0	0	0	0	0	0	0	0	0	4	1	5	0	0	1	0	0	0	0
Otu00650	0	0	0	0	0	0	0	0	0	0	5	3	0	2	0	0	0	0	0	0
Otu00653	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu00654	1	0	1	1	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00656	0	0	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	3	0	0
Otu00660	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu00664	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Otu00667	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0
Otu00668	0	0	1	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0
Otu00669	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
Otu00671	0	0	0	5	0	0	9	1	0	2	0	0	0	0	0	0	0	0	0	0
Otu00674	0	0	0	0	0	0	0	4	0	95	0	0	0	0	0	0	0	0	0	14
Otu00675	0	0	0	0	0	0	0	0	0	0	0	3	6	3	1	1	0	0	0	0
Otu00679	2	0	0	0	0	0	0	0	0	0	0	18	0	0	17	1	0	0	6	0
Otu00683	0	0	0	5	0	0	0	0	0	0	2	0	0	2	3	6	0	0	0	0
Otu00685	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00686	0	0	0	0	0	0	0	2	0	18	0	0	0	0	0	0	0	0	0	0
Otu00688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0
Otu00689	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Otu00690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
Otu00693	0	0	0	3	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu00694	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0
Otu00697	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Otu00698	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	29	0	0	0
Otu00699	0	0	0	0	1	0	0	0	0	0	0	1	0	10	0	10	0	0	0	0
Otu00702	2	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0	0	0	0	1
Otu00704	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0	6	0	0
Otu00705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	49	0
Otu00706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Otu00709	5	0	2	2	0	0	0	0	0	0	0	1	16	0	0	0	0	5	0	0
Otu00710	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
Otu00711	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	19	0
Otu00713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0
Otu00715	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
Otu00718	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00721	0	0	0	0	0	0	2	68	0	0	0	0	0	0	0	0	0	0	0	0
Otu00723	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Otu00724	0	0	0	0	1	0	0	0	0	0	4	0	1	0	2	0	1	1	0	0
Otu00726	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00727	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00730	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Otu00733	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	1
Otu00736	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	11
Otu00739	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00740	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00742	0	0	0	0	0	0	0	0	0	0	31	0	0	0	2	0	0	0	0	0
Otu00743	0	2	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	5	0	0
Otu00745	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	2
Otu00746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Otu00752	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0
Otu00756	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
Otu00757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu00760	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0
Otu00762	0	0	0	2	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Otu00763	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Otu00764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	0
Otu00765	0	0	0	0	0	0	16	0	0	0	6	0	0	0	0	0	0	0	0	0
Otu00766	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu00773	0	15	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00775	0	0	3	0	0	0	0	54	0	0	0	0	0	0	0	3	0	0	0	0
Otu00776	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	17
Otu00777	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00778	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0
Otu00780	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0
Otu00782	0	0	0	0	0	0	1	0	0	0	0	19	0	0	2	1	0	0	0	0
Otu00786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
Otu00787	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00788	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00789	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	6
Otu00790	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0
Otu00791	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0
Otu00793	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00797	0	0	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	2	0
Otu00798	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00803	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00804	0	0	0	0	0	2	0	0	0	0	0	0	26	0	0	0	0	0	0	0
Otu00806	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00810	0	0	1	2	2	0	0	0	4	0	1	0	1	0	1	0	0	0	0	0
Otu00814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Otu00815	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0
Otu00816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu00818	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00823	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00824	0	0	0	0	19	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00827	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0
Otu00828	2	1	1	0	0	0	0	0	0	0	12	0	5	0	0	2	0	0	0	0
Otu00830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Otu00832	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0
Otu00833	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00835	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu00837	0	0	0	0	0	0	0	0	0	0	0	0	56	0	2	0	0	0	0	0
Otu00841	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu00844	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	2	0
Otu00845	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0
Otu00846	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0
Otu00851	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
Otu00854	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2
Otu00855	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu00857	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00858	0	0	0	17	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00859	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00865	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0
Otu00866	0	0	12	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0
Otu00867	0	0	0	0	0	0	0	0	0	0	31	0	0	3	0	0	0	0	0	0
Otu00868	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Otu00873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
Otu00874	0	0	0	0	0	0	0	0	0	0	16	1	0	0	7	0	0	0	0	0
Otu00879	0	0	0	0	0	0	0	0	0	0	0	6	0	0	28	4	0	0	0	0
Otu00882	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0
Otu00883	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
Otu00885	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00888	0	0	0	1	0	0	0	0	0	5	0	0	0	0	9	0	0	0	0	0
Otu00890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00892	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00898	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00900	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0
Otu00902	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
Otu00905	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	1	2	0
Otu00906	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
Otu00907	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
Otu00909	0	8	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu00912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu00913	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00920	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00921	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00927	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Otu00930	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
Otu00931	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
Otu00936	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
Otu00939	0	2	0	0	0	1	0	7	0	0	0	0	0	0	6	0	0	0	0	0
Otu00941	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	1	2	9
Otu00944	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
