OTU_id	F14RhizoFungi.2p.A4	F14RhizoFungi.2p.A6	F14RhizoFungi.2p.B3	F14RhizoFungi.2p.D1	F14RhizoFungi.2p.D6	F14RhizoFungi.H11	F14Group.Rhizo111	F14RhizoFungi.G12	F14RhizoFungi.G7	F14RhizoFungi.H5	F15RhizoFungi.2p.A4	F15RhizoFungi.2p.B3	F15RhizoFungi.2p.D1	F15RhizoFungi.2p.D6	F15RhizoFungi.H11	F15RhizoFungi.2p.A6	F15RhizoFungi.G12	F15RhizoFungi.G2	F15RhizoFungi.G7	F15RhizoFungi.H5
Otu00069	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	42	0
Otu00070	0	0	0	20	1	201	1	0	0	0	0	0	0	0	0	6	0	1	0	0
Otu00072	0	0	0	0	0	1	34	1	0	7	70	7	1	5	5	24	0	0	2	0
Otu00074	0	1	0	0	0	0	1	1	26	1	0	0	0	0	29	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	0	0	1	35	32	6	0	1	2	8	0	0	0
Otu00076	12	5	2	10	1	26	0	1	0	2	7	3	8	11	61	17	0	1	0	0
Otu00077	11	95	0	16	0	18	0	0	0	0	58	0	27	7	0	28	0	0	0	0
Otu00078	0	0	4	0	0	4	0	16	31	21	85	1	93	46	3	34	12	37	214	124
Otu00079	0	12	6	3	2	14	0	32	0	0	0	0	0	1	16	0	1	94	281	0
Otu00080	0	3	0	0	0	4	2	1	0	0	17	803	0	12	63	25	0	1	0	0
Otu00082	0	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Otu00083	1	0	0	14	0	26	0	0	5	4	54	5	5	56	97	2	0	1	20	0
Otu00084	11	18	0	0	0	0	0	17	0	26	3	1	153	13	7	2	34	6	0	0
Otu00085	0	0	1	0	0	1	17	0	0	22	0	0	0	0	1	0	461	1	1	0
Otu00086	0	0	1	0	9	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0
Otu00087	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
Otu00088	0	0	4	0	0	5	3	0	1	0	0	1	127	0	0	29	0	5	0	18
Otu00089	0	0	5	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0
Otu00091	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Otu00092	0	12	7	88	7	13	0	19	2	1	0	0	0	1	0	0	0	0	0	0
Otu00093	0	0	0	9	0	0	0	0	2	0	2	8	0	0	42	46	0	0	0	0
Otu00094	28	24	114	167	2	5	0	0	193	0	0	22	10	0	8	44	0	7	1	0
Otu00095	7	4	0	20	7	0	0	0	14	0	13	3	3	21	0	45	0	0	1	1
Otu00096	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	22	5
Otu00097	1	0	1	0	0	1	25	45	0	10	25	80	1	76	184	13	0	0	1	2
Otu00098	3	1	3	5	182	118	0	0	22	0	0	0	0	1	0	0	1	0	0	0
Otu00100	0	0	0	2	47	0	0	0	0	0	0	0	0	0	34	0	1	0	0	0
Otu00101	25	7	0	19	0	100	1	0	0	2	0	36	1	1	0	0	35	0	0	0
Otu00102	0	0	1	0	51	61	0	0	127	0	0	1	53	55	9	33	1	2	0	0
Otu00103	0	0	0	0	0	0	0	32	0	0	0	0	0	0	5	0	0	2	1	0
Otu00104	27	0	3	77	0	0	1	0	0	0	0	3	0	7	10	14	74	265	125	0
Otu00105	0	0	0	160	0	0	41	0	0	36	0	0	0	0	0	0	0	0	0	0
Otu00107	15	74	22	5	140	24	0	3	10	0	15	0	71	0	34	13	0	0	0	0
Otu00108	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	22	0
Otu00109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0
Otu00110	0	0	4	0	0	4	2	0	0	3	0	3	0	16	4	0	45	4	0	0
Otu00112	1	0	20	2	31	14	0	0	0	0	0	3	0	45	5	6	229	1	0	0
Otu00115	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0
Otu00117	0	0	16	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00119	0	4	4	0	0	0	0	0	0	0	0	47	0	3	0	10	0	0	0	0
Otu00121	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Otu00122	1	0	0	5	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0
Otu00124	6	0	0	0	0	0	0	74	0	0	0	0	0	1	0	0	0	0	0	0
Otu00125	0	0	0	0	0	0	0	3	19	0	0	0	0	0	0	0	84	6	11	1
Otu00126	0	0	0	0	0	0	0	104	0	1	0	0	0	0	0	1	26	52	75	0
Otu00127	0	0	0	5	6	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00128	0	0	0	2	1	1	0	12	5	28	0	4	1	3	3	1	0	1	2	0
Otu00130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0
Otu00131	0	1	0	9	1	1	1	0	0	0	3	20	19	0	108	7	0	0	0	0
Otu00132	0	1	12	0	0	0	5	0	1	0	0	11	35	3	0	6	0	0	0	0
Otu00133	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	304	0
Otu00134	0	0	0	0	0	0	35	57	73	134	0	0	0	8	4	0	0	1	0	0
Otu00136	0	0	0	0	0	0	0	0	0	0	320	0	0	68	68	0	0	0	0	0
Otu00137	3	6	21	3	1	3	11	6	0	2	4	13	4	4	15	4	2	14	11	0
