OTU_id	F14RootFungi.2p.A5	F14RootFungi.2p.B4	F14RootFungi.2p.C3	F14RootFungi.2p.C5	F14RootFungi.2p.D2	F14RootFungi.H7	F14RootFungi.G3	F14Group.Root123	F14RootFungi.G9	F14RootFungi.H2	F15RootFungi.2p.D4	F15RootFungi.H9	F15RootFungi.2p.A5	F15RootFungi.2p.B4	F15RootFungi.H12	F15RootFungi.H7	F15RootFungi.F11	F15RootFungi.G4	F15RootFungi.G9	F15RootFungi.H2
Otu00511	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Otu00515	10	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	2	0	0	2
Otu00516	0	0	0	0	0	0	29	11	23	0	0	0	0	0	0	0	0	0	0	3
Otu00518	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00523	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
Otu00526	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00528	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0
Otu00534	0	0	0	0	0	0	0	62	0	11	0	0	0	0	0	0	0	0	0	0
Otu00542	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00543	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00544	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00549	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	6	0	0	26
Otu00550	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0
Otu00551	0	2	3	14	7	4	0	0	0	0	0	0	0	5	0	1	0	1	0	0
Otu00553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Otu00555	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00559	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Otu00565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
Otu00567	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Otu00569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
Otu00571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Otu00572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0
Otu00579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
Otu00580	0	0	0	0	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	13	0	0	0
Otu00588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Otu00590	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
Otu00592	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00601	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0
Otu00602	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	53	0	0	0	0
Otu00603	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0
Otu00605	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
Otu00607	0	0	0	0	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0
Otu00612	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
Otu00627	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00628	0	0	0	0	0	0	0	0	0	0	3	0	0	9	5	10	0	0	0	0
Otu00632	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0
Otu00642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
Otu00657	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0
Otu00665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Otu00668	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
Otu00670	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8
Otu00677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39
Otu00678	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
Otu00679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Otu00684	0	0	0	0	0	0	0	0	0	0	0	20	0	4	0	0	0	0	0	7
Otu00685	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00690	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu00691	0	0	11	5	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu00699	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
Otu00702	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0
Otu00703	0	31	0	0	1	1	0	0	0	0	5	0	0	3	0	0	0	0	0	0
Otu00708	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0
Otu00709	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
Otu00715	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0
Otu00723	0	9	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu00733	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0
Otu00734	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0
Otu00736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
Otu00738	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Otu00748	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00761	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00762	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu00769	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	6
Otu00777	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00785	0	0	0	0	0	0	0	0	0	0	0	89	0	0	1	0	0	0	0	0
Otu00799	0	0	0	0	0	0	0	0	0	0	0	0	0	6	33	5	0	0	0	0
Otu00805	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0
Otu00809	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00814	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00815	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0
Otu00820	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Otu00826	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0
Otu00827	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00832	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00833	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
Otu00842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Otu00844	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
Otu00849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	1	0
Otu00850	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	21
Otu00859	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
Otu00861	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0
Otu00864	0	0	0	0	1	1	0	0	0	0	0	0	0	10	0	4	0	0	0	0
Otu00895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
Otu00897	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Otu00898	3	0	3	2	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00901	1	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	32	0	0	0	0
Otu00923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
Otu00924	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	8
Otu00934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu00936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	2
Otu00940	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu00949	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0
Otu00951	0	0	0	0	0	0	5	0	34	0	0	0	0	0	0	0	0	0	0	0
Otu00958	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
Otu00960	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00966	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
Otu00970	0	0	2	0	0	0	0	0	0	0	1	0	0	7	0	4	0	0	0	0
Otu00971	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Otu00977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0
Otu00986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
Otu00988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Otu01009	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Otu01012	0	0	0	0	0	0	0	0	0	0	0	4	0	3	7	23	0	0	0	0
Otu01013	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	9	0	0	0	0
Otu01033	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu01036	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0
Otu01038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Otu01041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu01045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Otu01056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu01063	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu01065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
Otu01067	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01070	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu01089	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
Otu01090	0	0	0	0	0	0	5	3	4	0	0	0	0	0	0	0	0	0	0	0
Otu01105	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Otu01110	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
Otu01111	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01115	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
Otu01121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
Otu01136	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01138	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
Otu01140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	2
Otu01141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
Otu01151	0	0	0	0	0	0	10	2	5	0	0	0	0	0	0	0	0	0	0	0
Otu01152	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
Otu01178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu01187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
Otu01195	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	19	0	0	0	0
Otu01202	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
Otu01204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Otu01213	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	11	0	0	0	0
Otu01215	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Otu01217	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
Otu01219	0	1	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0
Otu01246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Otu01249	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0
Otu01265	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0
Otu01266	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0
Otu01273	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01280	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0
Otu01284	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
Otu01291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
Otu01301	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0
Otu01311	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu01343	0	2	1	0	0	7	0	4	0	0	0	0	0	1	0	0	0	0	0	0
Otu01346	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu01353	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Otu01356	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01358	0	0	0	7	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Otu01377	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
Otu01378	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu01381	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0
Otu01387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Otu01393	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26	0	0	0	0
Otu01402	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Otu01421	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu01429	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu01431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu01432	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01452	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
Otu01457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
Otu01464	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu01471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu01489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Otu01495	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu01497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
Otu01516	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
Otu01517	0	1	1	0	0	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0
Otu01518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
Otu01519	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	1
Otu01522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu01532	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
Otu01538	0	0	0	0	1	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0
Otu01546	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0
Otu01549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Otu01566	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0
Otu01573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
Otu01581	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01591	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0
Otu01610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
Otu01623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu01634	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01635	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu01644	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0
Otu01655	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Otu01673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
Otu01679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Otu01681	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0
Otu01707	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Otu01721	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01725	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01735	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu01740	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Otu01748	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu01755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu01761	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu01763	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0
Otu01774	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Otu01775	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01779	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0
Otu01787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
Otu01801	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
Otu01848	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu01883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Otu01896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Otu01919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Otu01921	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu01937	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Otu01941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu01949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Otu01955	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0
Otu01961	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0
Otu01980	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu01993	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
Otu02012	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu02021	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu02035	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02040	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	1	0	0	0	0
Otu02041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu02061	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu02070	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
Otu02072	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02073	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1
Otu02086	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Otu02094	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0
Otu02095	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu02118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0
Otu02119	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
Otu02130	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
Otu02138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu02175	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu02178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu02184	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu02195	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Otu02200	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Otu02228	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Otu02232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Otu02253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu02273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Otu02275	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu02280	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
Otu02282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu02338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Otu02346	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Otu02360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Otu02376	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Otu02378	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
Otu02434	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02492	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Otu02503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu02506	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
Otu02508	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu02540	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1
Otu02546	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Otu02576	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu02581	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02599	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Otu02614	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Otu02617	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu02630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu02636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu02649	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Otu02671	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu02697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu02712	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Otu02734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
Otu02740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Otu02751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu02752	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Otu02760	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu02766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Otu02800	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1
Otu02802	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02814	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
