OTU_id	F14RootFungi.2p.A5	F14RootFungi.2p.B4	F14RootFungi.2p.C3	F14RootFungi.2p.C5	F14RootFungi.2p.D2	F14RootFungi.H7	F14RootFungi.G3	F14Group.Root123	F14RootFungi.G9	F14RootFungi.H2	F15RootFungi.2p.D4	F15RootFungi.H9	F15RootFungi.2p.A5	F15RootFungi.2p.B4	F15RootFungi.H12	F15RootFungi.H7	F15RootFungi.F11	F15RootFungi.G4	F15RootFungi.G9	F15RootFungi.H2
Otu00075	0	1	0	0	2	0	0	42	0	91	25	2	1	18	77	88	20	1	4	0
Otu00076	0	0	6	4	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0
Otu00077	0	8	2	0	0	4	0	0	0	0	0	0	0	0	12	148	0	0	0	0
Otu00078	0	0	0	0	0	0	0	0	0	1	340	1	0	1	1	7	0	0	0	0
Otu00079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	1	10
Otu00080	0	3	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Otu00082	0	13	0	0	0	1	0	1	0	35	0	0	0	0	29	0	1	0	0	0
Otu00084	0	0	9	6	0	0	0	0	4	0	0	30	0	2	5	32	7	0	1	99
Otu00085	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	6
Otu00086	1	0	10	70	331	0	0	0	0	0	445	0	1	0	0	0	0	0	0	0
Otu00087	0	1	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0
Otu00088	0	0	0	0	0	0	0	0	2	31	0	0	5	25	0	0	0	0	0	0
Otu00089	0	0	0	0	0	3	0	0	0	0	221	0	1	12	0	0	221	0	0	41
Otu00090	0	0	0	0	0	1	0	4	0	26	2	0	0	0	0	0	34	0	0	9
Otu00092	0	1	1	1	0	16	0	0	0	22	0	0	0	0	0	28	0	0	0	0
Otu00094	3	1	3	9	0	0	0	0	0	0	0	0	147	0	0	129	0	5	0	0
Otu00095	0	0	0	0	0	0	0	0	0	0	132	10	0	0	469	0	1	0	0	0
Otu00096	0	0	0	0	0	0	0	0	0	0	25	562	0	0	0	260	0	0	0	0
Otu00097	0	12	0	6	0	0	0	0	0	3	4	7	0	0	3	11	0	2	0	1
Otu00099	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
Otu00102	0	0	0	0	0	0	0	18	0	1	0	0	0	0	23	0	0	0	0	0
Otu00103	0	0	42	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	37	0
Otu00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
Otu00105	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00106	0	0	1	0	12	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0
Otu00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0
Otu00109	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	129	34	1	0
Otu00110	0	0	0	0	2	0	0	10	1	1	0	0	1	0	20	0	28	337	667	3
Otu00111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0
Otu00112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Otu00115	1	0	34	2	69	0	0	0	0	0	7	4	7	224	1	59	0	0	0	0
Otu00117	0	0	1	0	0	92	0	88	0	0	0	0	0	0	0	0	73	0	0	79
Otu00119	8	0	53	9	3	0	0	0	0	0	5	7	42	0	0	0	0	0	1	0
Otu00122	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0
Otu00124	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0
Otu00125	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
Otu00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	11
Otu00127	0	274	10	0	47	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00128	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0
Otu00129	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1
Otu00130	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	667	1	0	0	0
Otu00131	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Otu00132	4	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1
Otu00134	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00136	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0
Otu00137	0	1	9	0	0	1	0	0	0	1	0	0	1	1	1	0	2	0	25	0
Otu00138	0	74	0	0	0	68	0	0	0	0	0	0	0	0	0	0	44	0	0	0
Otu00139	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00140	0	23	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0
Otu00141	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Otu00142	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00143	0	16	0	0	0	0	0	0	0	0	17	0	1	0	19	7	0	0	0	0
Otu00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	9
Otu00145	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Otu00146	0	6	1	0	1	3	1	9	11	0	0	0	0	32	1	1	2	0	0	0
Otu00148	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00149	4	0	352	0	0	7	0	0	0	0	0	0	7	1	0	0	0	0	0	0
Otu00151	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0
Otu00153	0	0	0	0	0	0	0	1	0	11	0	29	0	0	0	0	0	0	0	102
Otu00154	6	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Otu00155	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	6	0	0
Otu00156	9	0	0	0	13	0	0	0	17	0	1	0	0	0	0	0	13	0	0	0
Otu00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	13	1	0
Otu00160	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0
Otu00161	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	5
Otu00162	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Otu00164	0	0	0	0	0	0	0	0	16	1	0	13	0	0	30	0	0	0	0	0
Otu00166	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0
Otu00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4	0	0
Otu00168	0	0	0	0	13	0	0	0	0	0	34	10	0	1	7	74	0	0	0	3
Otu00170	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00173	0	90	9	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00174	0	56	0	0	0	0	0	0	0	0	0	1	0	0	107	0	0	0	0	1
