OTU_id	F14RhizoFungi.2p.A5	F14RhizoFungi.2p.B4	F14RhizoFungi.2p.C3	F14RhizoFungi.2p.C5	F14RhizoFungi.2p.D2	F14RhizoFungi.H7	F14RhizoFungi.G3	F14RhizoFungi.F11	F14RhizoFungi.G9	F14RhizoFungi.H2	F15RhizoFungi.2p.D4	F15RhizoFungi.H9	F15RhizoFungi.2p.A5	F15RhizoFungi.2p.B4	F15RhizoFungi.H12	F15RhizoFungi.H7	F15RhizoFungi.F11	F15RhizoFungi.G4	F15RhizoFungi.G9	F15RhizoFungi.H2
Otu00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	3
Otu00358	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00361	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Otu00363	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00364	0	22	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
Otu00366	6	2	0	4	0	0	0	0	0	0	8	0	2	0	14	0	16	0	0	0
Otu00371	0	0	0	4	0	1	0	2	18	0	0	1	4	2	0	0	11	0	0	0
Otu00373	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
Otu00374	0	5	0	7	0	0	0	0	0	0	0	4	4	16	1	0	0	0	0	0
Otu00375	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1
Otu00376	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00378	1	0	1	0	0	0	1	0	0	0	0	1	2	63	0	0	7	2	4	1
Otu00379	1	14	3	3	2	3	0	0	0	0	6	1	7	11	6	1	0	1	0	0
Otu00380	0	1	0	0	4	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
Otu00383	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00384	0	0	13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu00386	0	0	0	0	0	0	0	0	0	275	0	0	2	0	0	0	0	0	0	0
Otu00387	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	33	0	0	0
Otu00388	0	0	0	3	0	0	0	2	0	3	0	0	1	0	0	0	7	0	0	25
Otu00389	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	2	0	0
Otu00390	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Otu00391	0	0	0	0	0	0	0	20	1	24	0	0	0	0	0	0	0	2	1	0
Otu00392	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0	0	0	3	0	0
Otu00396	2	2	0	0	1	5	0	1	0	0	0	3	1	3	2	0	2	0	0	0
Otu00397	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00398	0	0	0	3	0	0	0	0	3	0	2	0	6	0	34	0	0	0	0	0
Otu00399	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
Otu00400	0	0	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Otu00401	0	0	0	0	0	0	0	0	0	0	0	0	0	55	1	0	0	0	0	0
Otu00402	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00403	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Otu00404	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00412	15	0	0	2	30	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00413	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Otu00415	0	0	0	0	0	0	20	0	0	1	0	0	3	0	0	0	0	42	0	0
Otu00418	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0
Otu00419	0	0	0	0	0	0	21	0	0	0	1	0	1	0	1	0	4	0	0	1
Otu00422	0	1	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu00423	0	0	0	0	0	0	0	0	0	0	39	1	0	11	0	0	0	0	0	0
Otu00424	0	0	0	0	0	0	0	0	1	0	0	0	3	12	0	0	0	0	0	0
Otu00426	0	0	0	0	0	4	4	1	7	0	0	0	0	0	1	0	8	0	0	0
Otu00427	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	7	1	0	1
Otu00428	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
Otu00429	0	0	0	0	0	0	0	0	0	0	0	0	17	5	0	0	0	0	0	0
Otu00430	0	0	8	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu00432	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0
Otu00435	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
Otu00436	0	0	0	0	6	0	0	0	0	0	0	0	0	59	0	1	0	0	0	0
Otu00438	6	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Otu00441	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00442	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0
Otu00443	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu00444	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Otu00446	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0
Otu00447	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	1	61
Otu00448	0	0	3	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00450	9	4	3	1	9	10	0	1	0	0	0	0	0	0	0	0	2	0	11	2
Otu00453	0	0	0	0	0	0	0	0	0	0	6	0	0	6	2	0	0	0	0	0
Otu00454	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
Otu00456	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0
Otu00458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu00459	0	0	0	0	0	2	0	0	0	0	26	0	0	0	0	0	0	0	0	0
Otu00460	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu00462	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Otu00465	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00467	0	0	0	0	7	0	1	4	3	0	0	0	1	0	0	0	26	0	0	0
Otu00468	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	45	1	0	0
Otu00469	0	0	0	0	0	0	0	0	0	0	0	1	2	6	3	0	0	0	0	0
Otu00473	5	0	0	0	25	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Otu00477	0	0	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	3	0	0
Otu00478	0	4	0	5	3	2	0	2	0	0	1	1	1	2	0	0	4	0	0	3
Otu00479	0	0	23	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00481	1	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0
Otu00483	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00486	0	0	0	10	0	5	0	0	0	0	0	7	0	1	0	0	18	0	0	0
Otu00487	1	2	0	0	0	0	0	1	20	0	0	1	2	0	0	0	0	0	0	0
Otu00488	0	0	0	0	0	0	0	0	0	0	5	1	1	38	1	0	0	0	0	0
Otu00490	0	0	0	0	3	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0
Otu00491	0	3	0	0	0	0	0	4	0	0	0	0	12	0	0	0	0	0	0	0
Otu00494	0	3	0	0	1	3	0	2	2	0	0	0	3	3	0	0	1	0	0	0
Otu00495	0	0	0	0	0	4	1	1	1	5	0	1	1	3	2	0	0	1	0	0
Otu00497	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	1	0	0	0	0
Otu00498	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0
Otu00500	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0
Otu00501	0	0	1	0	0	0	5	25	0	0	1	0	5	4	0	0	0	0	0	0
Otu00505	7	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00506	0	0	0	0	0	6	0	0	0	0	0	0	4	22	0	0	0	0	0	0
Otu00509	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	15	1	36	1
Otu00511	0	0	0	0	0	0	6	7	0	26	0	0	0	0	0	0	0	0	0	0
Otu00513	0	0	1	0	5	0	0	0	0	0	3	31	1	3	0	0	0	0	0	0
Otu00515	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00517	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Otu00518	0	0	0	0	0	3	4	0	0	0	0	2	0	0	2	0	0	0	0	0
Otu00521	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	2	0	0
Otu00523	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00524	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	111	2	0
Otu00525	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0
Otu00526	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
Otu00530	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0
Otu00531	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0
Otu00532	2	2	0	1	0	8	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Otu00533	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu00542	0	0	0	0	0	0	0	0	0	0	0	0	4	51	0	0	0	0	0	0
Otu00544	0	6	0	0	0	0	2	0	40	5	0	0	0	0	0	0	0	0	0	0
Otu00554	0	0	15	0	0	2	9	0	1	0	0	0	5	0	3	0	0	0	1	3
Otu00555	0	0	0	0	18	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
Otu00557	0	0	0	0	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Otu00559	0	3	0	0	0	1	0	1	0	0	0	0	0	2	10	0	0	0	0	0
Otu00563	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00565	0	0	0	0	1	0	0	0	1	7	1	1	1	3	0	0	0	0	0	0
Otu00566	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0
Otu00567	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0
Otu00569	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0
Otu00571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Otu00572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
Otu00574	2	2	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	1	0	0
Otu00575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	165	0
Otu00576	0	0	5	1	0	0	0	0	0	0	14	0	0	5	1	0	0	0	0	0
Otu00578	0	0	0	0	34	0	0	0	0	0	8	0	1	6	0	0	0	7	0	0
Otu00579	0	1	0	1	1	0	0	0	2	47	2	0	0	0	0	0	0	0	0	0
Otu00580	0	4	0	0	2	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0
Otu00583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81
Otu00584	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00586	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
Otu00590	0	0	0	4	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0
Otu00591	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0
Otu00592	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0
Otu00594	0	0	0	0	0	0	0	0	149	14	0	0	0	0	0	0	0	0	0	0
Otu00598	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Otu00601	0	0	2	20	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0
Otu00603	3	1	2	1	1	4	0	0	0	2	0	0	0	0	0	1	0	2	0	1
Otu00605	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Otu00607	0	0	0	0	1	1	0	0	0	0	3	1	0	1	2	0	0	0	0	0
Otu00608	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00609	2	2	0	1	0	0	1	7	0	0	0	0	4	1	0	0	11	0	0	0
Otu00610	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00613	0	0	0	0	1	0	0	1	0	12	0	0	1	0	0	0	4	0	0	0
Otu00617	2	0	0	0	4	1	0	3	4	0	6	0	2	0	0	0	0	0	0	0
Otu00620	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	51	0
Otu00622	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0
Otu00623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
Otu00624	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00625	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0
Otu00627	2	2	0	0	0	0	0	0	0	0	3	3	3	5	0	0	0	0	0	0
Otu00628	0	0	0	0	0	0	0	0	0	0	2	1	1	4	0	20	0	0	0	0
Otu00630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Otu00631	0	2	0	1	1	2	0	0	0	0	4	8	0	3	3	0	0	0	0	0
Otu00632	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0
Otu00635	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	94	0	0
Otu00637	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
Otu00639	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00640	0	0	0	0	1	1	0	0	0	0	13	0	3	37	0	0	0	0	0	0
Otu00641	0	0	0	0	0	0	0	0	0	0	0	18	5	0	0	0	0	0	0	0
Otu00642	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00644	1	2	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0
Otu00646	0	0	0	0	0	0	5	4	3	0	0	0	0	0	0	0	0	0	0	21
Otu00649	0	0	0	0	6	0	0	0	0	0	8	1	0	18	0	0	0	0	0	3
Otu00650	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Otu00653	0	2	0	0	0	0	0	0	0	0	3	3	0	0	1	0	0	0	0	0
Otu00654	9	2	1	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0
Otu00656	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu00660	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
Otu00664	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00666	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	27	2	0	0
Otu00667	0	0	0	0	0	88	0	0	0	0	0	0	1	0	7	0	1	0	0	0
Otu00668	0	0	0	0	0	2	0	10	36	0	0	0	0	0	0	0	0	0	0	0
Otu00669	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Otu00671	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00674	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu00675	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0
Otu00677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	23
Otu00679	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0
Otu00681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
Otu00682	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Otu00683	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu00685	9	1	4	20	0	0	9	0	0	5	4	0	1	0	0	0	0	0	0	0
Otu00686	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0
Otu00689	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	11	1	0	0
Otu00692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu00693	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu00694	0	0	0	0	2	0	2	0	0	0	6	0	0	0	1	0	0	0	0	0
Otu00696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	3	0	0
Otu00697	0	0	0	1	1	0	0	0	0	0	0	0	4	4	5	0	1	0	0	0
Otu00698	0	4	3	0	0	0	0	0	21	0	4	0	0	0	8	0	0	0	0	0
Otu00699	0	0	0	0	0	0	0	0	0	0	4	0	0	13	3	0	0	0	0	0
Otu00702	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2
Otu00703	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00704	0	0	0	0	31	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0
Otu00707	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
Otu00709	6	0	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00710	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0
Otu00715	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0
Otu00717	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
Otu00723	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
Otu00724	0	1	0	0	1	0	0	0	0	0	2	2	2	1	2	0	2	0	0	0
Otu00726	0	0	0	0	0	0	1	5	0	13	0	4	1	0	0	0	32	0	0	0
Otu00732	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00733	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00736	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1
Otu00738	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu00741	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00742	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	0	0	0	0	0
Otu00744	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
Otu00745	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0
Otu00746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Otu00752	0	0	0	0	0	0	3	3	1	0	0	0	0	0	1	0	1	1	0	1
Otu00757	0	0	0	0	0	0	1	0	27	0	0	0	0	0	0	0	0	0	0	0
Otu00760	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0
Otu00761	0	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00762	1	4	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Otu00764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	30
Otu00765	0	0	0	0	0	0	2	12	2	0	0	0	0	0	0	0	3	1	0	0
Otu00768	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
Otu00769	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10
Otu00773	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu00778	1	0	0	0	0	0	0	1	0	22	0	0	0	0	0	0	16	0	0	0
Otu00782	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00787	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00789	0	0	0	4	1	2	0	0	0	2	0	1	0	0	0	0	0	1	0	1
Otu00790	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00793	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	29
Otu00797	1	0	1	5	0	1	3	2	2	1	0	0	0	0	0	0	0	0	0	0
Otu00798	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00803	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu00805	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00806	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00809	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Otu00810	3	0	0	0	0	1	1	1	2	0	5	1	1	0	1	0	0	0	0	0
Otu00815	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0
Otu00816	0	0	0	0	0	13	0	0	0	0	6	0	3	0	0	0	0	0	0	0
Otu00823	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0
Otu00824	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00827	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00828	0	0	0	1	2	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0
Otu00832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
Otu00834	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0
Otu00835	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu00837	0	7	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00839	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00840	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
Otu00841	0	0	2	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0
Otu00842	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	6
Otu00845	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu00846	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0
Otu00848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Otu00849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0
Otu00850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00851	0	4	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Otu00857	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00858	0	0	9	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0
Otu00862	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Otu00873	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00874	0	3	0	0	0	2	0	0	0	0	0	10	0	3	1	0	0	0	0	0
Otu00879	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
Otu00887	1	2	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00891	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00892	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Otu00894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0
Otu00897	0	5	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0
Otu00899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Otu00905	0	0	0	0	0	0	1	5	2	5	0	0	0	0	0	0	0	0	0	1
Otu00906	0	0	0	0	2	1	0	0	0	0	0	2	0	6	0	0	0	0	0	0
Otu00909	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Otu00913	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	0
Otu00922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
Otu00923	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0
Otu00925	0	0	0	0	0	0	0	0	0	0	7	0	0	10	0	0	0	0	0	0
Otu00930	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	3	0	0
Otu00931	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0
Otu00939	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0
Otu00940	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
Otu00941	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	4	0	0
Otu00945	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Otu00947	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Otu00949	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Otu00954	0	0	0	0	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Otu00957	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00960	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Otu00961	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Otu00966	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0
Otu00974	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu00975	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
Otu00976	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu00986	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu00992	1	2	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0
Otu00994	0	13	4	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Otu00995	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
Otu00999	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu01001	0	0	11	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu01003	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu01005	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Otu01014	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
