OTU_id	F14RhizoFungi.2p.A5	F14RhizoFungi.2p.B4	F14RhizoFungi.2p.C3	F14RhizoFungi.2p.C5	F14RhizoFungi.2p.D2	F14RhizoFungi.H7	F14RhizoFungi.G3	F14RhizoFungi.F11	F14RhizoFungi.G9	F14RhizoFungi.H2	F15RhizoFungi.2p.D4	F15RhizoFungi.H9	F15RhizoFungi.2p.A5	F15RhizoFungi.2p.B4	F15RhizoFungi.H12	F15RhizoFungi.H7	F15RhizoFungi.F11	F15RhizoFungi.G4	F15RhizoFungi.G9	F15RhizoFungi.H2
Otu00068	0	0	0	0	0	0	0	0	0	482	0	0	0	0	0	0	0	0	0	0
Otu00069	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	8	0	1	0
Otu00070	1	0	0	0	0	0	0	0	0	0	0	0	260	0	931	0	0	0	0	0
Otu00072	0	0	0	1	0	5	4	0	1	0	0	2	13	2	7	0	1	4	3	18
Otu00074	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	0	0	8	2	0	1	10	3	2	3	0	0	0
Otu00076	7	32	785	93	33	12	11	0	0	8	13	1	4	21	6	0	1	1	42	0
Otu00077	80	17	1	10	128	100	0	0	0	0	5	0	5	2	2	31	0	0	0	0
Otu00078	0	40	0	0	8	1	10	9	35	59	547	1	13	9	2	136	18	10	0	17
Otu00079	22	0	0	8	7	16	7	13	0	8	1	0	24	0	7	1	109	21	0	33
Otu00080	0	0	2	1	2	2	1	0	0	0	57	8	31	3	11	14	0	0	2	0
Otu00081	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
Otu00083	5	0	2	35	3	0	14	0	0	0	5	0	42	8	7	1	0	2	2	0
Otu00084	0	0	0	0	0	0	0	202	0	0	2	1	5	0	0	219	38	0	1	0
Otu00085	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	22
Otu00086	0	0	0	0	25	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
Otu00087	0	0	0	0	0	0	1	0	0	347	0	0	0	0	0	0	0	0	0	0
Otu00088	0	0	2	0	17	5	0	0	0	8	9	7	24	8	2	0	1	0	0	0
Otu00090	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	4	0	0	0
Otu00091	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Otu00092	1	39	29	95	6	0	1	7	116	17	0	0	1	0	1	0	9	5	0	0
Otu00093	0	0	7	6	0	39	0	0	0	0	1	0	3	0	2	0	0	0	1	0
Otu00094	25	3	6	55	2	0	1	0	17	0	5	3	812	8	5	0	1	0	0	0
Otu00095	0	6	4	2	8	0	0	0	0	0	47	66	1	0	81	0	0	0	0	0
Otu00096	0	0	0	3	0	0	0	0	0	0	324	1	0	0	0	47	0	0	0	61
Otu00097	0	9	0	0	4	1	38	0	9	3	59	41	4	11	138	39	10	4	3	0
Otu00098	162	20	115	86	62	36	3	0	0	0	0	8	4	0	0	64	0	0	0	0
Otu00101	15	40	0	4	0	12	0	0	0	0	0	0	186	25	7	0	0	0	1	31
Otu00102	45	0	7	2	0	0	1	35	0	0	0	24	36	0	759	0	2	1	1	1
Otu00103	0	0	0	0	0	0	1	2	8	0	0	0	0	0	0	0	0	0	0	0
Otu00104	0	9	0	12	14	5	0	3	0	0	1	0	18	2	9	0	94	0	1	38
Otu00105	0	0	142	7	0	5	5	4	1	0	0	0	3	0	0	0	0	0	0	0
Otu00107	150	6	18	21	17	0	0	15	27	14	51	2	30	12	46	0	13	33	0	30
Otu00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	621	35	2	26
Otu00109	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	256	390	1	0
Otu00110	0	1	0	16	4	0	1	1	19	11	0	1	3	1	9	0	8	14	15	1
Otu00112	1	9	19	0	62	0	0	0	0	0	71	1	4	166	28	0	21	7	1	0
Otu00115	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu00117	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Otu00118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2222	0	0	0	0
Otu00119	1	0	1	2	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2
Otu00122	0	0	0	3	0	0	2	1	0	14	0	0	0	0	0	0	0	0	0	0
Otu00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
Otu00124	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0	0	0
Otu00125	0	1	0	0	1	0	0	58	0	13	0	0	0	0	0	0	62	0	127	220
Otu00126	0	0	0	0	0	0	3	651	6	0	0	0	0	0	13	0	40	3	1	0
Otu00127	0	15	0	1	65	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Otu00128	2	1	0	0	3	0	0	0	129	10	0	1	0	2	0	1	0	3	7	0
Otu00130	0	0	1	36	0	0	0	0	0	0	0	18	0	0	0	190	0	0	1	0
Otu00131	0	0	1	1	3	32	1	4	20	0	0	1	0	0	0	0	0	0	0	0
Otu00132	3	0	1	0	11	7	0	0	0	0	18	24	9	7	0	12	0	1	0	7
Otu00133	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	828
Otu00134	0	0	1	0	0	0	27	128	13	85	0	0	0	1	2	0	0	0	0	0
Otu00136	0	0	0	0	0	0	0	0	0	0	44	1	0	0	3	0	0	0	0	0
Otu00137	9	12	6	28	7	21	7	24	4	0	7	15	15	20	10	0	7	0	3	0
Otu00138	0	15	0	0	0	0	1	3	0	0	0	5	0	0	0	0	0	0	0	0
Otu00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00140	4	29	9	38	17	5	0	0	0	3	3	1	4	12	0	0	0	0	19	0
Otu00141	4	0	0	0	13	0	0	26	1	1	0	0	0	0	0	0	0	0	0	0
Otu00142	0	4	311	5	0	0	0	0	1	1	0	1	47	0	53	0	0	0	0	0
Otu00143	0	48	2	5	12	14	0	0	0	0	28	51	4	21	30	47	0	0	2	0
Otu00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
Otu00146	0	0	0	0	0	0	2	0	20	0	0	0	0	1	0	0	0	0	0	0
Otu00147	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00148	1	6	3	27	5	0	1	19	2	0	0	0	5	38	3	0	1	13	0	21
Otu00149	0	0	0	0	0	0	0	0	0	0	6	0	23	0	6	0	0	0	0	0
Otu00150	0	0	0	0	0	1	0	0	0	0	40	2	6	1	0	2	1	4	1	0
Otu00151	0	3	0	0	3	0	16	22	306	0	0	0	7	10	8	0	0	4	0	0
Otu00152	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1
Otu00153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Otu00154	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu00155	0	0	0	0	0	0	2	14	24	47	0	0	1	0	0	0	0	73	1	6
Otu00156	15	5	0	4	0	3	2	0	0	0	43	0	14	6	7	0	0	0	0	0
Otu00157	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	992	3	86	0
Otu00158	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	12	10	2	0
Otu00160	1	0	0	0	1	0	1	0	0	40	0	0	4	0	0	0	3	67	70	0
Otu00161	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	50	4	1	1
Otu00162	7	0	0	0	0	32	0	3	1	10	19	1	8	31	4	0	12	1	0	0
Otu00163	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1
Otu00164	4	0	3	0	1	0	0	1	68	5	5	8	0	22	7	0	2	1	0	0
Otu00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323	61	1	57
Otu00168	0	0	0	0	0	0	0	1	0	0	1	1	1	2	0	6	0	0	0	0
Otu00169	0	0	9	48	2	0	0	0	0	0	1	0	0	9	6	42	0	0	0	0
Otu00170	0	5	0	0	11	1	0	1	0	0	35	1	44	15	0	0	0	0	0	0
Otu00172	0	0	37	1	0	0	0	16	17	0	0	0	0	4	1	0	0	0	0	0
Otu00173	0	33	0	7	0	33	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu00174	0	27	1	2	28	0	0	3	0	0	0	15	5	0	236	0	1	0	0	0
Otu00175	0	0	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
Otu00176	0	1	0	1	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0
Otu00178	0	0	18	1	26	0	2	13	7	0	0	0	37	0	9	0	0	0	0	0
Otu00179	0	0	0	0	0	0	0	26	58	0	0	0	8	0	0	0	4	0	0	0
Otu00180	0	0	0	0	0	0	0	28	15	0	0	0	0	0	0	0	4	0	112	0
Otu00182	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	9	4	0	19
Otu00183	0	0	0	0	0	0	0	1	0	0	0	1	0	5	0	0	0	0	1	0
Otu00184	6	1	1	0	0	0	0	0	0	0	0	0	567	235	0	0	0	0	0	0
Otu00185	136	18	32	9	17	8	0	6	0	0	0	0	0	0	6	0	3	0	0	0
Otu00186	0	0	0	0	0	0	0	0	0	0	3	27	0	0	0	0	0	0	0	0
Otu00187	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Otu00189	0	0	2	1	0	0	23	19	60	9	7	1	0	36	0	278	0	0	49	0
Otu00190	0	0	0	0	0	0	0	0	0	0	19	0	60	48	2	0	0	0	0	0
Otu00192	0	11	0	0	0	0	0	0	0	0	11	0	0	121	3	0	0	0	0	0
Otu00194	0	3	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu00196	76	13	26	7	0	7	0	2	1	0	9	0	26	23	2	0	0	0	0	0
Otu00197	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0
Otu00198	0	0	0	5	0	0	0	0	0	14	0	1	0	0	0	0	0	5	2	0
Otu00199	0	0	0	0	0	0	10	13	21	6	0	0	0	0	0	0	15	18	143	0
Otu00200	2	4	0	0	10	1	0	0	0	0	6	7	0	5	0	0	0	0	0	0
Otu00201	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	2	1	0	2
Otu00203	1	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00204	11	10	15	0	0	6	0	0	0	0	8	3	0	231	0	0	0	0	0	0
Otu00206	0	65	2	0	0	7	0	50	0	25	0	0	19	4	5	0	29	0	0	0
Otu00207	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
Otu00208	0	0	0	0	0	0	0	0	0	0	6	0	3	8	11	0	6	2	0	0
Otu00209	0	0	0	0	0	0	0	0	0	6	0	0	0	26	0	0	0	11	0	0
Otu00210	0	0	89	11	0	1	0	1	0	0	0	0	0	52	0	0	0	0	0	0
Otu00211	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0
Otu00213	0	2	0	34	0	16	0	0	0	0	44	1	0	16	48	0	0	0	1	0
Otu00217	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Otu00218	8	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0
Otu00219	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0
Otu00221	4	0	0	0	0	0	0	0	0	0	1	0	32	0	1	0	0	0	0	0
Otu00224	0	5	0	0	2	0	0	0	0	0	25	4	7	4	10	16	0	0	0	0
Otu00225	0	3	0	1	37	2	0	0	0	0	18	0	6	4	0	0	2	0	0	0
Otu00226	0	0	2	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0
Otu00234	0	0	0	0	0	1	6	0	134	0	0	0	0	0	0	0	0	2	0	0
Otu00235	0	2	0	0	0	0	0	0	0	1	3	0	5	0	0	0	10	0	0	0
Otu00236	7	19	0	0	1	0	0	0	0	0	0	2	2	0	78	0	13	0	1	0
Otu00237	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	8	0	0	0
Otu00238	0	1	0	5	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00240	0	0	1	13	0	0	0	0	0	0	4	0	9	0	0	478	0	0	0	0
Otu00241	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	5	419	0
Otu00242	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	447	0	0	0	0
Otu00245	0	0	0	0	0	0	17	4	96	7	0	0	0	3	0	0	0	0	0	0
Otu00247	40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
