OTU_id	F14RhizoFungi.2p.A2	F14RhizoFungi.2p.B1	F14RhizoFungi.2p.B5	F14RhizoFungi.2p.B6	F14RhizoFungi.2p.D4	F14RhizoFungi.H12	F14RhizoFungi.G8	F14RhizoFungi.G4	F14RhizoFungi.G2	F14RhizoFungi.G5	F15RhizoFungi.2p.A2	F15RhizoFungi.2p.B6	F15RhizoFungi.2p.C5	F15RhizoFungi.2p.C3	F15RhizoFungi.2p.D2	F15RhizoFungi.2p.C4	F15Group.Rhizo131	F15Group.Rhizo99	F15RhizoFungi.G3	F15RhizoFungi.G8
Otu00091	0	0	0	0	0	0	0	0	1	2527	0	0	0	0	0	0	0	0	0	0
Otu00092	41	0	93	2	0	3	2	1	13	1	1	0	0	0	0	0	8	5	3	0
Otu00093	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	1	0	0	0
Otu00094	38	4	11	9	2	36	79	2	34	13	19	2	7	2	17	0	3	1	1	0
Otu00095	13	0	4	0	45	33	0	0	0	0	20	38	7	9	25	0	0	0	1	0
Otu00096	0	0	0	0	0	0	0	0	0	0	0	248	1	77	0	0	0	0	0	0
Otu00097	0	2	15	0	5	3	1	136	44	10	82	84	3	65	7	14	23	16	27	11
Otu00098	119	394	66	94	81	45	0	1	0	1	0	1	0	0	24	13	3	0	0	0
Otu00100	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	2	0	0	0
Otu00101	0	2	18	42	0	0	0	0	0	0	68	13	10	0	10	14	3	26	8	0
Otu00102	24	24	6	0	0	12	0	20	0	0	0	21	25	47	1	18	0	0	8	0
Otu00103	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	5	5	2	0
Otu00104	11	0	14	11	1	67	6	0	11	0	0	0	9	1	1	38	20	1	176	62
Otu00105	25	3	0	0	2	6	0	33	0	0	0	0	0	0	0	4	0	0	0	0
Otu00107	20	6	3	83	0	134	1	0	7	0	11	16	6	52	8	13	0	14	0	0
Otu00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	413	147
Otu00109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	42	121	33
Otu00110	0	0	0	1	2	4	6	1	14	5	0	2	2	0	0	6	19	8	1	4
Otu00112	59	0	0	0	3	38	0	0	0	0	0	4	0	37	8	3	1	7	0	0
Otu00117	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00119	0	28	0	5	5	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Otu00120	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
Otu00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372
Otu00122	0	0	0	0	0	1	92	84	3	6	0	0	0	0	0	0	0	0	6	0
Otu00123	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	1	0
Otu00125	50	0	3	0	0	0	220	342	158	44	0	0	0	0	0	0	130	0	26	62
Otu00126	0	2	0	0	1	8	154	0	8	1	0	0	0	0	0	0	8	23	175	0
Otu00127	0	0	13	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Otu00128	0	3	0	0	0	1	2	10	0	8	0	0	0	1	3	0	0	0	6	1
Otu00131	0	3	3	0	3	10	3	0	1	0	0	3	2	2	0	0	0	0	0	0
Otu00132	0	16	14	0	1	1	0	1	0	0	0	2	10	5	0	5	0	0	0	2
Otu00133	0	0	0	0	0	0	0	0	0	291	1	0	0	0	0	0	0	0	0	0
Otu00134	0	0	0	0	0	0	60	11	22	131	0	1	0	0	0	0	0	0	0	0
Otu00135	0	0	0	0	0	0	0	0	0	0	0	0	1	406	0	0	0	0	0	0
Otu00136	0	0	0	0	4	0	0	0	0	0	63	0	38	0	53	1	0	0	0	0
Otu00137	6	17	13	5	5	9	14	0	11	6	8	21	5	7	6	9	8	3	56	2
Otu00138	248	9	60	0	7	0	1	0	0	0	0	0	13	0	126	0	0	0	0	0
Otu00139	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	91	0	0	0
Otu00140	1	3	41	4	2	41	0	19	26	3	1	37	11	40	0	9	16	2	9	9
Otu00141	0	0	0	11	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
Otu00142	0	3	0	0	5	0	0	0	0	0	50	4	7	9	0	102	0	1	0	0
Otu00143	17	13	34	3	12	14	0	0	0	0	35	23	25	91	148	3	0	0	0	0
Otu00144	0	0	18	0	0	0	0	0	0	0	17	0	0	1	0	2	0	0	0	11
Otu00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00146	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Otu00147	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00148	0	11	18	0	0	1	15	10	13	4	8	16	0	2	5	9	63	4	36	16
Otu00149	43	2	0	0	15	0	0	33	0	15	17	0	1	10	0	3	0	0	0	0
Otu00150	0	1	0	0	0	0	0	20	0	0	0	1	16	1	0	4	0	0	0	0
Otu00151	4	0	16	1	0	0	21	25	41	0	17	3	2	2	13	1	98	0	33	132
Otu00154	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu00155	0	0	0	0	0	0	7	15	39	50	0	0	0	0	0	0	10	47	5	1
Otu00156	0	0	1	3	7	4	0	0	0	3	18	0	39	1	132	107	1	0	17	0
Otu00157	0	0	0	0	0	1	6	11	9	4	0	1	1	1	0	1	11	1	105	1
Otu00158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	130	2	0
Otu00160	0	7	0	0	0	0	0	0	0	4	0	5	0	0	0	2	0	6	13	0
Otu00161	0	0	1	1	0	0	1	1	2	1	1	0	0	0	0	0	10	277	10	51
Otu00162	4	18	6	0	11	5	0	0	0	0	51	0	1	5	1	0	0	2	7	0
Otu00163	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	1	10
Otu00164	8	0	7	0	0	1	2	31	6	0	38	0	2	0	6	0	4	2	0	14
Otu00166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337
Otu00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	1	151	48
Otu00168	7	0	0	0	3	0	0	0	0	0	14	0	5	4	2	0	0	0	0	0
Otu00169	10	13	6	0	2	10	0	1	0	0	1	12	7	0	0	2	0	0	0	0
Otu00170	28	7	7	0	2	22	0	0	0	0	28	26	0	13	41	0	0	1	0	0
Otu00172	0	2	0	0	0	0	0	0	16	13	0	1	0	0	0	2	1	0	0	0
Otu00173	0	0	5	0	0	16	0	0	0	0	0	0	1	0	1	1	0	0	0	0
Otu00174	5	0	24	28	2	27	0	0	0	0	75	1	34	59	4	15	0	1	1	0
Otu00175	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0
Otu00176	0	0	0	0	2	9	0	6	3	0	0	1	0	0	0	0	0	1	4	0
Otu00177	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
Otu00178	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25	0	5	0	0
Otu00179	0	14	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	136	0	0
Otu00180	0	0	0	0	0	0	0	67	0	13	0	0	0	0	0	0	0	0	79	20
Otu00182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0
Otu00184	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00185	36	22	43	2	90	141	0	0	0	0	0	1	0	2	0	3	0	0	3	0
Otu00186	0	0	0	0	0	0	0	0	5	0	0	2	0	0	12	3	0	0	0	2
Otu00187	0	0	0	0	0	0	0	0	0	0	31	12	9	0	0	0	0	0	0	0
Otu00189	0	0	2	0	6	16	0	50	4	0	0	3	0	2	0	1	0	0	7	32
Otu00190	0	0	0	0	0	0	0	0	0	0	7	11	22	48	90	10	0	0	0	0
Otu00192	1	3	7	11	6	9	3	2	9	0	0	0	0	1	0	1	0	7	6	0
Otu00193	0	0	0	0	0	0	0	0	0	0	3	1133	0	0	0	0	0	1	0	0
Otu00194	10	0	5	0	0	2	0	0	1	0	0	0	0	0	6	0	0	0	0	0
Otu00195	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Otu00196	3	27	10	0	1	38	0	0	35	0	4	2	21	8	8	8	0	0	0	89
Otu00197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
Otu00198	4	0	0	0	0	6	8	0	1	9	0	0	0	0	16	0	19	15	77	0
Otu00199	0	0	0	0	0	0	10	100	68	3	0	0	0	2	0	1	2	8	61	38
Otu00200	0	0	4	0	5	6	0	0	0	0	5	8	9	8	7	2	0	0	0	1
Otu00201	0	0	0	0	0	0	5	6	0	13	0	0	0	1	0	0	7	0	8	20
Otu00202	0	0	0	0	0	0	0	0	0	0	0	2	0	377	0	2	0	0	0	0
Otu00203	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00204	20	0	17	0	20	3	0	0	0	0	0	122	38	11	0	15	12	0	1	0
Otu00206	0	0	15	0	22	8	5	11	93	0	2	2	0	0	19	0	0	7	21	0
Otu00208	0	0	0	0	0	0	0	0	1	0	8	19	2	39	5	29	4	5	2	0
Otu00210	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	0	0	0	0
Otu00211	0	0	4	1	1	0	2	0	1	0	1	0	0	0	1	1	0	0	0	2
Otu00213	48	1	7	0	2	48	0	0	0	0	149	11	0	44	0	0	1	0	1	0
Otu00214	9	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0
Otu00216	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	11	0	0
Otu00217	0	0	0	0	1	0	0	0	0	0	16	0	9	0	39	0	0	0	0	0
Otu00218	0	1	0	0	0	0	0	0	0	0	0	0	4	36	86	1	0	0	0	0
Otu00220	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	191	0	0	0
Otu00221	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00222	4	1	0	7	0	0	0	35	0	1	8	0	0	8	0	3	1	0	0	0
Otu00223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0
Otu00224	0	0	0	5	3	2	0	0	0	0	10	21	0	39	6	23	0	1	1	1
Otu00225	20	0	11	0	49	35	0	0	0	0	0	0	2	0	4	0	0	0	0	0
Otu00226	0	4	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0
Otu00227	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
Otu00231	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0
Otu00232	0	0	0	0	0	0	0	0	80	63	0	0	0	0	0	0	0	0	0	0
Otu00233	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	1	0	0	0	0
Otu00234	0	0	0	0	0	0	3	164	0	4	0	0	0	0	0	0	2	0	0	0
Otu00235	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	26	0	0	1	12
Otu00236	0	0	0	0	0	0	0	0	0	0	0	0	7	52	0	6	0	3	11	0
Otu00237	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	8	0
Otu00238	6	1	0	1	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0
Otu00239	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	0	0
Otu00240	0	4	0	0	0	0	0	0	2	0	0	0	2	3	11	4	0	0	0	0
Otu00241	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Otu00242	0	0	1	0	0	4	0	0	0	12	8	0	0	0	0	0	0	0	0	0
Otu00245	0	0	0	0	0	0	8	15	0	3	7	0	17	1	0	0	0	5	4	0
Otu00247	52	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00248	0	4	1	0	0	2	20	5	18	0	0	1	0	1	14	0	18	21	15	0
Otu00249	0	0	0	0	12	0	0	0	0	0	0	0	9	0	41	0	0	0	0	0
Otu00250	12	0	33	1	9	53	0	1	0	0	0	0	0	20	0	4	0	0	0	0
Otu00251	0	0	0	1	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
Otu00252	0	0	0	0	0	0	5	0	27	0	0	0	0	0	0	0	0	0	0	0
Otu00254	0	0	0	0	0	0	0	0	0	0	452	11	0	0	0	1	0	49	0	7
Otu00255	0	0	0	0	0	0	0	27	7	0	0	0	0	0	0	0	1	0	163	29
Otu00257	23	0	18	47	2	11	0	12	0	0	0	1	0	5	20	1	10	0	0	24
Otu00258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0
Otu00259	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	5	0	0
Otu00260	0	0	0	0	0	0	0	0	0	0	21	0	2	2	0	0	0	32	0	0
Otu00261	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0
Otu00262	0	3	18	0	9	5	0	0	0	0	2	9	18	46	26	8	0	0	0	1
Otu00263	0	0	38	4	8	19	0	0	0	0	0	21	10	29	13	0	16	0	0	0
Otu00264	0	0	0	0	0	0	28	12	9	1	0	0	0	0	1	0	19	0	46	9
Otu00265	0	0	0	1	0	0	0	47	41	0	0	0	0	0	0	0	0	0	0	0
Otu00266	0	0	3	0	0	0	0	0	0	0	4	6	3	52	2	12	0	0	0	0
Otu00267	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0
Otu00268	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Otu00269	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	66	0	0	0	0
Otu00270	0	0	0	0	0	0	16	82	14	21	0	0	0	0	0	0	1	8	5	7
Otu00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	4	0	287	48
Otu00272	0	0	2	0	0	8	39	4	72	12	0	5	0	0	0	0	0	5	14	66
Otu00274	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Otu00275	1	0	2	0	0	0	0	6	0	0	0	0	0	17	0	1	0	0	0	0
Otu00276	0	0	0	0	0	0	0	6	0	0	0	173	0	0	0	0	0	0	0	302
Otu00277	0	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18	0
Otu00278	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
Otu00280	0	0	4	1	2	6	0	0	0	0	24	17	5	7	12	2	0	1	0	0
Otu00281	0	0	0	0	0	0	0	0	0	0	13	0	8	1	0	0	0	0	0	0
Otu00282	15	3	7	0	7	38	22	0	25	10	0	0	1	0	7	0	0	0	11	18
Otu00283	0	0	0	0	0	1	0	0	2	2	0	0	1	5	0	0	1	3	0	0
Otu00284	0	0	0	0	0	0	0	5	7	1	4	39	2	20	0	6	1	3	3	1
Otu00285	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	1	0	0
Otu00286	12	0	3	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00287	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	14	0	5	24
Otu00288	0	0	0	0	0	0	0	5	0	9	0	0	1	0	2	0	0	124	0	0
Otu00289	1	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00290	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	58
Otu00291	0	0	1	0	0	0	5	1	0	1	0	0	0	0	0	1	12	15	10	0
Otu00292	0	2	3	0	2	2	0	0	1	6	7	1	3	77	0	3	0	0	0	1
Otu00293	0	0	0	0	0	0	0	0	0	0	0	0	80	11	0	4	0	0	0	0
Otu00294	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0
Otu00295	1	2	3	1	0	1	1	0	0	4	0	3	15	14	2	10	5	1	9	2
Otu00297	0	0	0	7	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu00298	7	27	12	0	4	0	0	0	0	0	12	0	0	0	118	0	13	0	0	0
Otu00301	2	0	7	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu00303	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00304	0	0	10	33	26	6	0	12	0	0	0	5	1	0	2	0	0	0	26	7
Otu00305	1	0	33	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00307	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0
Otu00308	0	9	0	0	0	0	0	1	0	94	0	0	1	8	0	0	0	0	0	0
Otu00310	4	0	1	0	3	4	4	0	0	7	0	2	0	0	0	6	8	2	5	1
Otu00313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	0
Otu00314	8	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00315	0	0	0	0	0	0	10	0	26	27	0	0	0	0	0	0	0	25	1	30
Otu00316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	51	0	6
Otu00318	0	0	0	0	0	0	0	44	0	20	8	0	0	0	0	0	0	0	0	0
Otu00320	5	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0
Otu00321	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Otu00322	0	0	0	0	0	0	0	0	0	0	25	0	1	0	26	0	0	0	0	0
Otu00324	0	0	1	0	4	0	1	0	0	0	0	0	53	0	0	1	0	0	0	0
Otu00325	0	0	0	0	0	0	0	0	0	0	37	0	12	4	0	1	0	0	0	0
Otu00326	27	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00327	0	0	0	0	0	0	0	0	0	0	15	0	377	0	0	0	0	0	0	0
Otu00328	0	0	6	0	0	0	4	0	0	0	46	2	0	0	16	3	0	0	0	0
Otu00329	4	0	15	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00330	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	1	0	0	0
Otu00331	0	9	6	3	2	6	4	20	11	7	8	7	5	18	0	5	0	1	0	0
Otu00335	0	0	0	0	0	0	0	0	0	3	0	1	1	7	0	4	0	3	0	0
Otu00338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	11
Otu00340	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00341	0	0	0	0	0	0	0	0	0	0	0	1	0	7	20	0	0	4	2	5
Otu00344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0
Otu00345	0	0	0	0	0	0	0	0	0	0	5	0	2	3	8	5	0	0	0	0
Otu00346	0	29	0	22	0	0	0	0	0	0	7	0	5	0	0	1	0	0	0	0
Otu00347	0	0	0	0	0	4	0	0	0	0	0	0	0	148	0	0	0	0	0	0
Otu00348	19	0	0	0	0	38	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00349	0	0	0	0	0	0	0	0	0	0	1	5	0	17	7	2	1	0	1	0
Otu00350	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0
Otu00352	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
