OTU_id	F14RootFungi.2p.A4	F14RootFungi.2p.A6	F14RootFungi.2p.B3	F14RootFungi.2p.D1	F14RootFungi.2p.D6	F14RootFungi.H11	F14Group.Root111	F14RootFungi.G12	F14RootFungi.G7	F14RootFungi.H5	F15RootFungi.2p.A4	F15RootFungi.2p.B3	F15RootFungi.2p.D1	F15RootFungi.2p.D6	F15RootFungi.H11	F15RootFungi.2p.A6	F15RootFungi.G12	F15RootFungi.G2	F15RootFungi.G7	F15RootFungi.H5
Otu00067	0	0	0	0	0	0	0	0	0	0	236	1	0	1	601	0	90	16	0	0
Otu00068	0	0	0	0	0	1	0	0	1441	0	0	0	0	2	1	0	0	0	1	1052
Otu00069	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
Otu00071	1	3	0	0	2	5	5	0	1	1	0	0	0	0	0	0	0	0	0	0
Otu00072	15	0	0	0	0	0	10	3	0	0	0	0	0	1	0	0	0	0	0	0
Otu00073	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0
Otu00074	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu00075	0	0	0	0	0	0	0	0	5	3	88	40	30	23	8	3	0	0	0	0
Otu00076	0	1	0	0	0	0	0	0	0	0	4	0	0	0	14	0	0	1	0	0
Otu00077	31	0	0	0	0	0	0	0	0	0	0	0	9	0	0	203	0	0	0	0
Otu00078	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	36
Otu00079	0	1	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	19	52	2
Otu00080	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00082	7	35	0	2	1	1	0	0	0	120	0	0	0	0	0	4	1	0	1	0
Otu00084	8	3	1	0	0	0	1	0	0	0	0	1	27	0	321	0	5	0	16	26
Otu00085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	1
Otu00086	0	0	0	114	11	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0
Otu00087	0	0	0	0	0	0	1	1	1821	0	0	0	0	0	0	0	0	0	0	0
Otu00088	0	5	0	0	0	3	0	0	0	0	35	0	32	0	0	0	0	0	0	0
Otu00089	313	0	0	0	6	0	1	0	0	0	0	0	106	0	2	1	0	1	0	0
Otu00090	0	0	0	0	1	0	2	0	258	9	0	0	1	0	0	1	4	960	441	10
Otu00092	120	2	0	0	0	0	0	1	6	1	0	0	0	0	0	0	1	0	0	12
Otu00093	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16
Otu00094	107	11	0	15	0	11	0	0	35	0	0	3	7	8	0	0	0	0	0	0
Otu00095	19	0	0	0	0	0	0	0	0	0	0	3	0	10	0	2	0	0	0	0
Otu00097	13	0	0	0	1	2	5	0	0	0	0	0	0	2	26	0	0	0	0	0
Otu00099	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0
Otu00102	60	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Otu00103	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	22	5	1	0
Otu00104	3	0	0	25	0	0	0	0	3	0	0	0	0	0	0	1	14	31	201	0
Otu00105	0	0	0	10	0	0	3	14	0	0	0	0	0	0	0	0	5	0	0	0
Otu00106	1	7	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu00107	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00110	31	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	1	0	0
Otu00111	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
Otu00112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
Otu00114	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu00115	1	4	30	50	182	1	0	0	0	0	41	8	101	79	22	17	0	0	0	0
Otu00117	0	0	0	0	0	0	0	0	0	34	0	2	0	0	0	0	0	0	0	0
Otu00119	4	13	20	27	93	0	10	0	0	0	0	255	28	17	0	7	0	0	0	4
Otu00121	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0
Otu00124	15	0	5	0	0	0	0	273	0	0	0	0	45	28	0	0	0	0	0	0
Otu00126	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Otu00127	0	0	2	2	38	6	16	1	0	0	0	0	0	0	0	0	6	2	0	0
Otu00128	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0
Otu00130	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0
Otu00134	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	2	0	0	0
Otu00136	0	0	0	0	0	0	0	0	0	0	617	0	0	23	0	0	0	0	0	0
Otu00137	3	0	3	5	0	23	3	0	2	0	0	0	19	0	0	0	1	0	5	0
Otu00138	0	0	0	0	0	23	0	133	0	0	0	0	0	0	275	0	4	0	0	2
Otu00139	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2
Otu00140	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00141	0	0	0	0	80	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Otu00142	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Otu00143	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	3	0	0	0	0
Otu00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	30	2	0
Otu00145	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00146	20	0	3	5	0	0	3	1	15	0	0	5	0	0	0	1	7	1	0	6
Otu00148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4
Otu00149	0	12	1	0	1	0	0	0	0	0	0	0	0	0	24	3	0	0	0	0
Otu00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	0	0	10
Otu00153	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	12	0	0	159
Otu00154	0	1	0	0	1	0	7	0	2	0	0	0	0	0	0	0	0	0	0	5
Otu00155	0	0	0	0	0	0	0	0	3	16	0	0	0	0	0	0	10	0	0	30
Otu00156	1	10	4	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
Otu00160	0	34	0	0	0	1	0	2	103	0	0	0	0	0	0	0	0	0	1	5
Otu00161	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	56	5	0	6
Otu00162	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	38
Otu00163	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16
Otu00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00168	0	0	0	11	4	0	16	0	0	0	32	23	5	113	60	0	0	3	0	0
Otu00169	269	2	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
Otu00170	49	0	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0	0	0	0
Otu00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Otu00172	0	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Otu00173	26	0	0	0	13	0	0	0	0	0	0	0	27	7	89	0	0	0	0	0
Otu00174	0	0	0	9	0	0	0	0	0	0	0	0	0	5	0	0	10	0	0	0
Otu00176	797	0	0	0	0	0	0	0	14	0	0	3	85	0	0	1	10	0	0	0
Otu00177	0	0	0	0	0	1	1	24	0	0	0	0	0	0	0	0	6	0	0	0
Otu00179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
Otu00182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Otu00185	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Otu00187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	1
Otu00189	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	1	0	0	0
Otu00190	0	0	0	0	0	0	0	0	0	0	0	0	0	11	67	0	0	0	0	0
Otu00192	0	0	0	0	0	0	0	0	0	0	0	5	29	0	0	9	0	0	0	0
Otu00195	0	0	0	0	0	0	0	0	0	0	0	1	1146	1	0	0	0	0	1	0
Otu00197	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu00199	0	0	0	0	0	1	0	3	4	0	0	0	0	0	0	0	0	0	13	3
Otu00201	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	16	3
Otu00203	3	0	81	3	15	0	3	0	0	0	0	0	0	47	0	3	0	0	0	1
Otu00206	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	42	0	0
Otu00210	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	37	0	0	0
Otu00211	11	3	2	11	0	0	0	1	0	0	12	1	22	35	5	6	44	12	10	0
Otu00212	1	10	1	6	0	3	2	0	0	4	1	2	49	18	5	19	4	1	2	0
Otu00217	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	0	0	0	0
Otu00221	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00222	20	11	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
Otu00224	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
Otu00225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	22
Otu00226	0	0	0	114	0	0	0	0	0	0	0	1	8	0	0	0	0	0	1	0
Otu00232	0	0	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0
Otu00233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0
Otu00234	1	0	0	0	0	0	0	10	1	11	0	0	0	0	0	0	0	0	0	0
Otu00237	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	0	6	0
Otu00238	0	4	53	53	14	11	0	0	0	0	0	0	0	17	0	0	1	0	0	0
Otu00239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Otu00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
