OTU_id	F14RootFungi.2p.A4	F14RootFungi.2p.A6	F14RootFungi.2p.B3	F14RootFungi.2p.D1	F14RootFungi.2p.D6	F14RootFungi.H11	F14Group.Root111	F14RootFungi.G12	F14RootFungi.G7	F14RootFungi.H5	F15RootFungi.2p.A4	F15RootFungi.2p.B3	F15RootFungi.2p.D1	F15RootFungi.2p.D6	F15RootFungi.H11	F15RootFungi.2p.A6	F15RootFungi.G12	F15RootFungi.G2	F15RootFungi.G7	F15RootFungi.H5
Otu00479	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00481	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Otu00484	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	18	0	0
Otu00491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu00495	0	0	0	0	0	0	0	1	2	7	0	0	1	0	1	0	0	0	0	1
Otu00498	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Otu00502	0	0	3	13	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0
Otu00511	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0
Otu00512	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00515	0	8	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Otu00516	0	0	0	0	0	0	0	28	0	22	0	0	0	0	7	0	0	0	0	0
Otu00521	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
Otu00523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1
Otu00531	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu00532	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Otu00537	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0
Otu00542	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0
Otu00543	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Otu00550	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0
Otu00551	0	0	5	12	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00565	0	0	0	0	0	0	0	0	0	0	0	0	5	10	0	0	0	0	0	1
Otu00567	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	7	0
Otu00568	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
Otu00578	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	5
Otu00582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0
Otu00586	0	0	0	0	0	0	0	11	0	2	0	0	0	0	0	0	0	0	0	0
Otu00588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0
Otu00591	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	17
Otu00595	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
Otu00597	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00603	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5
Otu00607	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu00612	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	11	0	0	0
Otu00613	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
Otu00614	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu00616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00624	0	2	0	1	0	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0
Otu00626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu00628	0	0	0	0	1	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0
Otu00635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
Otu00642	0	0	0	0	0	0	0	0	0	0	0	4	0	0	14	0	1	0	0	0
Otu00646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7
Otu00651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0
Otu00660	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	12
Otu00666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0
Otu00668	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6
Otu00669	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
Otu00670	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0
Otu00677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
Otu00687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0
Otu00690	84	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu00691	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu00695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu00698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00699	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
Otu00701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0
Otu00702	3	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	1	0	0	0
Otu00703	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0
Otu00706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26
Otu00707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0
Otu00708	0	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Otu00710	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	69	0
Otu00712	9	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0
Otu00714	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu00719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu00723	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00733	0	0	0	0	0	0	0	0	1	6	0	0	1	0	1	0	0	1	0	0
Otu00740	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
Otu00743	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0
Otu00745	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
Otu00746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00748	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Otu00754	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0
Otu00760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu00761	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00763	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Otu00765	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
Otu00775	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Otu00777	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0
Otu00789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu00799	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu00809	0	1	0	0	2	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0
Otu00815	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	1
Otu00817	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0
Otu00818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0
Otu00820	1	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0
Otu00822	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00823	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	0
Otu00832	0	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0
Otu00836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0
Otu00840	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
Otu00844	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	1	1
Otu00850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	13	0
Otu00851	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu00853	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00859	0	1	2	0	2	0	0	0	0	0	0	1	1	3	0	1	0	0	0	1
Otu00864	0	0	1	2	9	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0
Otu00875	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
Otu00884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu00887	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Otu00890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu00892	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu00893	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu00898	1	1	6	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Otu00901	0	2	8	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Otu00920	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu00926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
Otu00927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Otu00931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Otu00932	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
Otu00941	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
Otu00943	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Otu00946	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	0
Otu00949	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00962	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0
Otu00968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Otu00970	0	0	0	3	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Otu00971	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00976	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00980	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
Otu00982	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu00995	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00996	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
Otu01011	0	2	0	0	1	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0
Otu01012	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
Otu01015	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Otu01029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
Otu01032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu01033	1	0	1	0	0	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0
Otu01047	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu01055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu01062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Otu01063	1	3	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Otu01070	0	0	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	0
Otu01090	0	0	0	0	0	0	0	10	0	5	1	0	0	0	1	0	0	0	0	0
Otu01095	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01101	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01105	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01111	7	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01115	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu01121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu01140	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Otu01143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Otu01146	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Otu01147	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Otu01149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu01151	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0
Otu01154	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
Otu01168	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu01176	0	0	0	1	1	0	4	0	0	0	0	6	0	1	0	0	0	0	0	0
Otu01181	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Otu01185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu01213	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0
Otu01217	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0
Otu01255	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu01258	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0
Otu01261	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Otu01265	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu01311	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
Otu01343	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Otu01353	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	3
Otu01358	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Otu01366	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0
Otu01399	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
Otu01419	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
Otu01422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
Otu01423	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0
Otu01429	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0
Otu01431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Otu01446	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0
Otu01452	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0
Otu01459	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0
Otu01462	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01471	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu01478	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu01495	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01517	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Otu01519	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
Otu01536	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01544	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01662	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu01664	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Otu01681	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0
Otu01685	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu01690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
Otu01692	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Otu01695	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0
Otu01698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu01703	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
Otu01735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Otu01740	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
Otu01745	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu01767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu01785	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01786	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu01788	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
Otu01799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu01800	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01801	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01803	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Otu01841	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu01845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu01849	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0
Otu01861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu01864	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu01870	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu01907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu01912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
Otu01939	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Otu01960	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu01976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Otu01993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Otu01994	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
Otu02004	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
Otu02037	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
Otu02040	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
Otu02061	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu02070	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0
Otu02073	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0
Otu02138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Otu02163	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Otu02166	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Otu02244	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02322	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
Otu02330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0
Otu02331	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02362	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu02393	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
Otu02413	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Otu02419	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu02435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Otu02448	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Otu02465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Otu02518	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02553	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Otu02591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Otu02594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Otu02608	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu02620	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Otu02627	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu02653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Otu02707	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu02713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu02737	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Otu02747	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02791	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu02842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Otu02845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Otu02856	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Otu02879	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu02901	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu02918	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Otu03004	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03013	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu03082	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu03112	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Otu03115	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Otu03198	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Otu03222	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu03224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Otu03234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu03308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Otu03426	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
Otu03474	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Otu03566	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Otu03575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu03606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu03607	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Otu03649	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu03673	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Otu03704	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu03727	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Otu03729	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu03792	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Otu03895	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu03897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
