"","node","edge","nodeDegree","avgpath","trans","mod","connectance","wtc","nModules.SA","top3hub","top3hubv","n_postiveL","n_negativeL","Treatment"
"1",78,122,1.564,5.677,0.55,0.747,0.02,13,10,"55;5;65","1;0.978;0.915",112,5,"Nongraft"
"2",81,112,1.383,5.55,0.417,0.754,0.017,16,11,"24;41;15","1;0.963;0.719",97,9,"Selfgraft"
"3",70,108,1.543,4.211,0.577,0.745,0.022,13,11,"19;48;54","1;0.904;0.904",95,9,"RST-04-106"
"4",92,184,2,3.716,0.596,0.615,0.022,14,10,"36;2;11","1;0.925;0.885",148,32,"Maxifort"
